"region","intercept","ar","co2","varintercept*intercept","varintercept*ar","varintercept*co2","varar*intercept","varar*ar","varar*co2","varco2*intercept","varco2*ar","varco2*co2","varerror"
"eu",-3.50202476939454,0.117386397417273,0.0120869261145784,0.201595366290034,0.0228189997988094,-0.000657731864180857,0.0228189997988094,0.00597040242753651,-7.87299123894931e-05,-0.000657731864180857,-7.87299123894931e-05,2.16211621410063e-06,0.18414658142887
"rus+",-5.21831497689512,0.0649915603146906,0.0181608150241343,0.295864149727367,0.0330489732412334,-0.000987846639333774,0.0330489732412334,0.00599726475372954,-0.000114870604382574,-0.000987846639333774,-0.000114870604382574,3.31786505402034e-06,0.183118367178397
"usa",-2.48991629991445,0.252501195604176,0.00858744637775403,0.14000376994993,0.0182701528355505,-0.000456114461952139,0.0182701528355505,0.00566009210197742,-6.2992332879691e-05,-0.000456114461952139,-6.2992332879691e-05,1.49726967370712e-06,0.130453392121407
"chi+",-2.25006356685423,0.378776214724312,0.00775101071188097,0.1060569599775,0.0191752692529213,-0.000352802954522536,0.0191752692529213,0.00528665873556324,-6.58699581595835e-05,-0.000352802954522536,-6.58699581595835e-05,1.17943498298109e-06,0.0587730204132452
"ind+",-1.60376102848445,0.370844134778566,0.00549301794204773,0.054261281020239,0.0128586150153642,-0.000178939209052229,0.0128586150153642,0.00521242216254016,-4.40316670236597e-05,-0.000178939209052229,-4.40316670236597e-05,5.93439333973459e-07,0.0362883795472134
"afr",-2.30562275285428,0.309003753885974,0.00787197900664269,0.0791632847801088,0.0177499407756833,-0.000263672314445226,0.0177499407756833,0.00548072481579599,-6.05335828671382e-05,-0.000263672314445226,-6.05335828671382e-05,8.81595792149394e-07,0.0349005671406073
"lat",-1.27440112378589,0.471854396479136,0.00439992442259588,0.0470043189651576,0.0111982451644774,-0.000155317708730166,0.0111982451644774,0.00473297964534229,-3.86037690732625e-05,-0.000155317708730166,-3.86037690732625e-05,5.16393290866504e-07,0.0330187346481601
"oth",-3.87467265671381,0.168271509365579,0.0134361620761067,0.206989671300105,0.027679568604823,-0.000689773232689993,0.027679568604823,0.00596353056670372,-9.58389493479712e-05,-0.000689773232689993,-9.58389493479712e-05,2.31172397625784e-06,0.126405921911552
