# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.18,0.76,0.37,-0.05,0.19,0.94,1.77,0.81
2021,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2022,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2023,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2024,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2025,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2026,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2027,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2028,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2029,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2030,0.12,0.7,0.2,-0.22,-0.07,0.67,1.51,0.62
2031,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2032,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2033,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2034,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2035,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2036,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2037,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2038,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2039,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2040,0.03,0.59,0.04,-0.3,-0.36,0.39,1.3,0.38
2041,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2042,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2043,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2044,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2045,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2046,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2047,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2048,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2049,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2050,-0.04,0.48,-0.1,-0.42,-0.67,0.1,1.03,0.08
2051,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2052,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2053,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2054,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2055,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2056,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2057,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2058,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2059,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2060,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2061,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2062,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2063,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2064,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2065,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2066,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2067,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2068,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2069,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2070,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2071,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2072,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2073,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2074,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2075,-0.2,0.36,-0.36,-0.67,-1.09,-0.34,0.62,-0.27
2076,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2077,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2078,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2079,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2080,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2081,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2082,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2083,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2084,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2085,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2086,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2087,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2088,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2089,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2090,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2091,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2092,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2093,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2094,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2095,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2096,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2097,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2098,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2099,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2100,-0.32,0.07,-0.61,-0.82,-1.43,-0.82,0.1,-0.67
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
