# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1.84,3.02,2.45,4.83,9.89,7.12,4.86,4.04
2021,1.859,2.976,2.452,4.803,9.614,7.097,4.913,4.047
2022,1.878,2.932,2.454,4.776,9.338,7.074,4.966,4.054
2023,1.897,2.888,2.456,4.749,9.062,7.051,5.019,4.061
2024,1.916,2.844,2.458,4.722,8.786,7.028,5.072,4.068
2025,1.935,2.8,2.46,4.695,8.51,7.005,5.125,4.075
2026,1.954,2.756,2.462,4.668,8.234,6.982,5.178,4.082
2027,1.973,2.712,2.464,4.641,7.958,6.959,5.231,4.089
2028,1.992,2.668,2.466,4.614,7.682,6.936,5.284,4.096
2029,2.011,2.624,2.468,4.587,7.406,6.913,5.337,4.103
2030,2.03,2.58,2.47,4.56,7.13,6.89,5.39,4.11
2031,2.056,2.557,2.46,4.457,6.834,6.792,5.437,4.091
2032,2.082,2.534,2.45,4.354,6.538,6.694,5.484,4.072
2033,2.108,2.511,2.44,4.251,6.242,6.596,5.531,4.053
2034,2.134,2.488,2.43,4.148,5.946,6.498,5.578,4.034
2035,2.16,2.465,2.42,4.045,5.65,6.4,5.625,4.015
2036,2.186,2.442,2.41,3.942,5.354,6.302,5.672,3.996
2037,2.212,2.419,2.4,3.839,5.058,6.204,5.719,3.977
2038,2.238,2.396,2.39,3.736,4.762,6.106,5.766,3.958
2039,2.264,2.373,2.38,3.633,4.466,6.008,5.813,3.939
2040,2.29,2.35,2.37,3.53,4.17,5.91,5.86,3.92
2041,2.303,2.36,2.366,3.388,3.998,5.795,5.837,3.875
2042,2.316,2.37,2.362,3.246,3.826,5.68,5.814,3.83
2043,2.329,2.38,2.358,3.104,3.654,5.565,5.791,3.785
2044,2.342,2.39,2.354,2.962,3.482,5.45,5.768,3.74
2045,2.355,2.4,2.35,2.82,3.31,5.335,5.745,3.695
2046,2.368,2.41,2.346,2.678,3.138,5.22,5.722,3.65
2047,2.381,2.42,2.342,2.536,2.966,5.105,5.699,3.605
2048,2.394,2.43,2.338,2.394,2.794,4.99,5.676,3.56
2049,2.407,2.44,2.334,2.252,2.622,4.875,5.653,3.515
2050,2.42,2.45,2.33,2.11,2.45,4.76,5.63,3.47
2051,2.4248,2.458,2.3276,2.0852,2.3892,4.6988,5.606,3.4436
2052,2.4296,2.466,2.3252,2.0604,2.3284,4.6376,5.582,3.4172
2053,2.4344,2.474,2.3228,2.0356,2.2676,4.5764,5.558,3.3908
2054,2.4392,2.482,2.3204,2.0108,2.2068,4.5152,5.534,3.3644
2055,2.444,2.49,2.318,1.986,2.146,4.454,5.51,3.338
2056,2.4488,2.498,2.3156,1.9612,2.0852,4.3928,5.486,3.3116
2057,2.4536,2.506,2.3132,1.9364,2.0244,4.3316,5.462,3.2852
2058,2.4584,2.514,2.3108,1.9116,1.9636,4.2704,5.438,3.2588
2059,2.4632,2.522,2.3084,1.8868,1.9028,4.2092,5.414,3.2324
2060,2.468,2.53,2.306,1.862,1.842,4.148,5.39,3.206
2061,2.4728,2.538,2.3036,1.8372,1.7812,4.0868,5.366,3.1796
2062,2.4776,2.546,2.3012,1.8124,1.7204,4.0256,5.342,3.1532
2063,2.4824,2.554,2.2988,1.7876,1.6596,3.9644,5.318,3.1268
2064,2.4872,2.562,2.2964,1.7628,1.5988,3.9032,5.294,3.1004
2065,2.492,2.57,2.294,1.738,1.538,3.842,5.27,3.074
2066,2.4968,2.578,2.2916,1.7132,1.4772,3.7808,5.246,3.0476
2067,2.5016,2.586,2.2892,1.6884,1.4164,3.7196,5.222,3.0212
2068,2.5064,2.594,2.2868,1.6636,1.3556,3.6584,5.198,2.9948
2069,2.5112,2.602,2.2844,1.6388,1.2948,3.5972,5.174,2.9684
2070,2.516,2.61,2.282,1.614,1.234,3.536,5.15,2.942
2071,2.5208,2.618,2.2796,1.5892,1.1732,3.4748,5.126,2.9156
2072,2.5256,2.626,2.2772,1.5644,1.1124,3.4136,5.102,2.8892
