# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.14,0.71,0.39,0.11,0.35,1.21,2.19,1.06
2021,0.13,0.702,0.372,0.092,0.323,1.182,2.167,1.041
2022,0.12,0.694,0.354,0.074,0.296,1.154,2.144,1.022
2023,0.11,0.686,0.336,0.056,0.269,1.126,2.121,1.003
2024,0.1,0.678,0.318,0.038,0.242,1.098,2.098,0.984
2025,0.09,0.67,0.3,0.02,0.215,1.07,2.075,0.965
2026,0.08,0.662,0.282,0.002,0.188,1.042,2.052,0.946
2027,0.07,0.654,0.264,-0.016,0.161,1.014,2.029,0.927
2028,0.06,0.646,0.246,-0.034,0.134,0.986,2.006,0.908
2029,0.05,0.638,0.228,-0.052,0.107,0.958,1.983,0.889
2030,0.04,0.63,0.21,-0.07,0.08,0.93,1.96,0.87
2031,0.028,0.617,0.189,-0.078,0.049,0.9,1.938,0.846
2032,0.016,0.604,0.168,-0.086,0.018,0.87,1.916,0.822
2033,0.004,0.591,0.147,-0.094,-0.013,0.84,1.894,0.798
2034,-0.008,0.578,0.126,-0.102,-0.044,0.81,1.872,0.774
2035,-0.02,0.565,0.105,-0.11,-0.075,0.78,1.85,0.75
2036,-0.032,0.552,0.084,-0.118,-0.106,0.75,1.828,0.726
2037,-0.044,0.539,0.063,-0.126,-0.137,0.72,1.806,0.702
2038,-0.056,0.526,0.042,-0.134,-0.168,0.69,1.784,0.678
2039,-0.068,0.513,0.021,-0.142,-0.199,0.66,1.762,0.654
2040,-0.08,0.5,0,-0.15,-0.23,0.63,1.74,0.63
2041,-0.089,0.488,-0.013,-0.153,-0.258,0.606,1.721,0.604
2042,-0.098,0.476,-0.026,-0.156,-0.286,0.582,1.702,0.578
2043,-0.107,0.464,-0.039,-0.159,-0.314,0.558,1.683,0.552
2044,-0.116,0.452,-0.052,-0.162,-0.342,0.534,1.664,0.526
2045,-0.125,0.44,-0.065,-0.165,-0.37,0.51,1.645,0.5
2046,-0.134,0.428,-0.078,-0.168,-0.398,0.486,1.626,0.474
2047,-0.143,0.416,-0.091,-0.171,-0.426,0.462,1.607,0.448
2048,-0.152,0.404,-0.104,-0.174,-0.454,0.438,1.588,0.422
2049,-0.161,0.392,-0.117,-0.177,-0.482,0.414,1.569,0.396
2050,-0.17,0.38,-0.13,-0.18,-0.51,0.39,1.55,0.37
2051,-0.1752,0.3748,-0.138,-0.186,-0.5232,0.3736,1.5344,0.3572
2052,-0.1804,0.3696,-0.146,-0.192,-0.5364,0.3572,1.5188,0.3444
2053,-0.1856,0.3644,-0.154,-0.198,-0.5496,0.3408,1.5032,0.3316
2054,-0.1908,0.3592,-0.162,-0.204,-0.5628,0.3244,1.4876,0.3188
2055,-0.196,0.354,-0.17,-0.21,-0.576,0.308,1.472,0.306
2056,-0.2012,0.3488,-0.178,-0.216,-0.5892,0.2916,1.4564,0.2932
2057,-0.2064,0.3436,-0.186,-0.222,-0.6024,0.2752,1.4408,0.2804
2058,-0.2116,0.3384,-0.194,-0.228,-0.6156,0.2588,1.4252,0.2676
2059,-0.2168,0.3332,-0.202,-0.234,-0.6288,0.2424,1.4096,0.2548
2060,-0.222,0.328,-0.21,-0.24,-0.642,0.226,1.394,0.242
2061,-0.2272,0.3228,-0.218,-0.246,-0.6552,0.2096,1.3784,0.2292
2062,-0.2324,0.3176,-0.226,-0.252,-0.6684,0.1932,1.3628,0.2164
2063,-0.2376,0.3124,-0.234,-0.258,-0.6816,0.1768,1.3472,0.2036
2064,-0.2428,0.3072,-0.242,-0.264,-0.6948,0.1604,1.3316,0.1908
2065,-0.248,0.302,-0.25,-0.27,-0.708,0.144,1.316,0.178
2066,-0.2532,0.2968,-0.258,-0.276,-0.7212,0.1276,1.3004,0.1652
2067,-0.2584,0.2916,-0.266,-0.282,-0.7344,0.1112,1.2848,0.1524
2068,-0.2636,0.2864,-0.274,-0.288,-0.7476,0.0948,1.2692,0.1396
2069,-0.2688,0.2812,-0.282,-0.294,-0.7608,0.0784,1.2536,0.1268
2070,-0.274,0.276,-0.29,-0.3,-0.774,0.062,1.238,0.114
2071,-0.2792,0.2708,-0.298,-0.306,-0.7872,0.0456,1.2224,0.1012
2072,-0.2844,0.2656,-0.306,-0.312,-0.8004,0.0292,1.2068,0.0884
2073,-0.2896,0.2604,-0.314,-0.318,-0.8136,0.0128,1.1912,0.0756
2074,-0.2948,0.2552,-0.322,-0.324,-0.8268,-0.0036,1.1756,0.0628
2075,-0.3,0.25,-0.33,-0.33,-0.84,-0.02,1.16,0.05
2076,-0.298,0.242,-0.3336,-0.3284,-0.8444,-0.0344,1.1412,0.0396
2077,-0.296,0.234,-0.3372,-0.3268,-0.8488,-0.0488,1.1224,0.0292
2078,-0.294,0.226,-0.3408,-0.3252,-0.8532,-0.0632,1.1036,0.0188
2079,-0.292,0.218,-0.3444,-0.3236,-0.8576,-0.0776,1.0848,0.0084
2080,-0.29,0.21,-0.348,-0.322,-0.862,-0.092,1.066,-0.002
2081,-0.288,0.202,-0.3516,-0.3204,-0.8664,-0.1064,1.0472,-0.0124
2082,-0.286,0.194,-0.3552,-0.3188,-0.8708,-0.1208,1.0284,-0.0228
2083,-0.284,0.186,-0.3588,-0.3172,-0.8752,-0.1352,1.0096,-0.0332
2084,-0.282,0.178,-0.3624,-0.3156,-0.8796,-0.1496,0.9908,-0.0436
2085,-0.28,0.17,-0.366,-0.314,-0.884,-0.164,0.972,-0.054
2086,-0.278,0.162,-0.3696,-0.3124,-0.8884,-0.1784,0.9532,-0.0644
2087,-0.276,0.154,-0.3732,-0.3108,-0.8928,-0.1928,0.9344,-0.0748
2088,-0.274,0.146,-0.3768,-0.3092,-0.8972,-0.2072,0.9156,-0.0852
2089,-0.272,0.138,-0.3804,-0.3076,-0.9016,-0.2216,0.8968,-0.0956
2090,-0.27,0.13,-0.384,-0.306,-0.906,-0.236,0.878,-0.106
2091,-0.268,0.122,-0.3876,-0.3044,-0.9104,-0.2504,0.8592,-0.1164
2092,-0.266,0.114,-0.3912,-0.3028,-0.9148,-0.2648,0.8404,-0.1268
2093,-0.264,0.106,-0.3948,-0.3012,-0.9192,-0.2792,0.8216,-0.1372
2094,-0.262,0.098,-0.3984,-0.2996,-0.9236,-0.2936,0.8028,-0.1476
2095,-0.26,0.09,-0.402,-0.298,-0.928,-0.308,0.784,-0.158
2096,-0.258,0.082,-0.4056,-0.2964,-0.9324,-0.3224,0.7652,-0.1684
2097,-0.256,0.074,-0.4092,-0.2948,-0.9368,-0.3368,0.7464,-0.1788
2098,-0.254,0.066,-0.4128,-0.2932,-0.9412,-0.3512,0.7276,-0.1892
2099,-0.252,0.058,-0.4164,-0.2916,-0.9456,-0.3656,0.7088,-0.1996
2100,-0.25,0.05,-0.42,-0.29,-0.95,-0.38,0.69,-0.21
2101,-0.245,0.049,-0.4116,-0.2842,-0.931,-0.3724,0.6762,-0.2058
2102,-0.24,0.048,-0.4032,-0.2784,-0.912,-0.3648,0.6624,-0.2016
2103,-0.235,0.047,-0.3948,-0.2726,-0.893,-0.3572,0.6486,-0.1974
2104,-0.23,0.046,-0.3864,-0.2668,-0.874,-0.3496,0.6348,-0.1932
2105,-0.225,0.045,-0.378,-0.261,-0.855,-0.342,0.621,-0.189
2106,-0.22,0.044,-0.3696,-0.2552,-0.836,-0.3344,0.6072,-0.1848
2107,-0.215,0.043,-0.3612,-0.2494,-0.817,-0.3268,0.5934,-0.1806
2108,-0.21,0.042,-0.3528,-0.2436,-0.798,-0.3192,0.5796,-0.1764
2109,-0.205,0.041,-0.3444,-0.2378,-0.779,-0.3116,0.5658,-0.1722
2110,-0.2,0.04,-0.336,-0.232,-0.76,-0.304,0.552,-0.168
2111,-0.195,0.039,-0.3276,-0.2262,-0.741,-0.2964,0.5382,-0.1638
2112,-0.19,0.038,-0.3192,-0.2204,-0.722,-0.2888,0.5244,-0.1596
2113,-0.185,0.037,-0.3108,-0.2146,-0.703,-0.2812,0.5106,-0.1554
2114,-0.18,0.036,-0.3024,-0.2088,-0.684,-0.2736,0.4968,-0.1512
2115,-0.175,0.035,-0.294,-0.203,-0.665,-0.266,0.483,-0.147
2116,-0.17,0.034,-0.2856,-0.1972,-0.646,-0.2584,0.4692,-0.1428
2117,-0.165,0.033,-0.2772,-0.1914,-0.627,-0.2508,0.4554,-0.1386
2118,-0.16,0.032,-0.2688,-0.1856,-0.608,-0.2432,0.4416,-0.1344
2119,-0.155,0.031,-0.2604,-0.1798,-0.589,-0.2356,0.4278,-0.1302
2120,-0.15,0.03,-0.252,-0.174,-0.57,-0.228,0.414,-0.126
2121,-0.145,0.029,-0.2436,-0.1682,-0.551,-0.2204,0.4002,-0.1218
2122,-0.14,0.028,-0.2352,-0.1624,-0.532,-0.2128,0.3864,-0.1176
2123,-0.135,0.027,-0.2268,-0.1566,-0.513,-0.2052,0.3726,-0.1134
2124,-0.13,0.026,-0.2184,-0.1508,-0.494,-0.1976,0.3588,-0.1092
2125,-0.125,0.025,-0.21,-0.145,-0.475,-0.19,0.345,-0.105
