# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.45,1.12,0.56,-0.06,0.17,0.91,1.75,0.73
2021,0.452,1.125,0.551,-0.079,0.143,0.882,1.723,0.709
2022,0.454,1.13,0.542,-0.098,0.116,0.854,1.696,0.688
2023,0.456,1.135,0.533,-0.117,0.089,0.826,1.669,0.667
2024,0.458,1.14,0.524,-0.136,0.062,0.798,1.642,0.646
2025,0.46,1.145,0.515,-0.155,0.035,0.77,1.615,0.625
2026,0.462,1.15,0.506,-0.174,0.008,0.742,1.588,0.604
2027,0.464,1.155,0.497,-0.193,-0.019,0.714,1.561,0.583
2028,0.466,1.16,0.488,-0.212,-0.046,0.686,1.534,0.562
2029,0.468,1.165,0.479,-0.231,-0.073,0.658,1.507,0.541
2030,0.47,1.17,0.47,-0.25,-0.1,0.63,1.48,0.52
2031,0.463,1.16,0.454,-0.259,-0.129,0.603,1.46,0.497
2032,0.456,1.15,0.438,-0.268,-0.158,0.576,1.44,0.474
2033,0.449,1.14,0.422,-0.277,-0.187,0.549,1.42,0.451
2034,0.442,1.13,0.406,-0.286,-0.216,0.522,1.4,0.428
2035,0.435,1.12,0.39,-0.295,-0.245,0.495,1.38,0.405
2036,0.428,1.11,0.374,-0.304,-0.274,0.468,1.36,0.382
2037,0.421,1.1,0.358,-0.313,-0.303,0.441,1.34,0.359
2038,0.414,1.09,0.342,-0.322,-0.332,0.414,1.32,0.336
2039,0.407,1.08,0.326,-0.331,-0.361,0.387,1.3,0.313
2040,0.4,1.07,0.31,-0.34,-0.39,0.36,1.28,0.29
2041,0.4,1.066,0.303,-0.353,-0.422,0.332,1.253,0.261
2042,0.4,1.062,0.296,-0.366,-0.454,0.304,1.226,0.232
2043,0.4,1.058,0.289,-0.379,-0.486,0.276,1.199,0.203
2044,0.4,1.054,0.282,-0.392,-0.518,0.248,1.172,0.174
2045,0.4,1.05,0.275,-0.405,-0.55,0.22,1.145,0.145
2046,0.4,1.046,0.268,-0.418,-0.582,0.192,1.118,0.116
2047,0.4,1.042,0.261,-0.431,-0.614,0.164,1.091,0.087
2048,0.4,1.038,0.254,-0.444,-0.646,0.136,1.064,0.058
2049,0.4,1.034,0.247,-0.457,-0.678,0.108,1.037,0.029
2050,0.4,1.03,0.24,-0.47,-0.71,0.08,1.01,0
2051,0.396,1.0252,0.2324,-0.4804,-0.7272,0.062,0.994,-0.0128
2052,0.392,1.0204,0.2248,-0.4908,-0.7444,0.044,0.978,-0.0256
2053,0.388,1.0156,0.2172,-0.5012,-0.7616,0.026,0.962,-0.0384
2054,0.384,1.0108,0.2096,-0.5116,-0.7788,0.008,0.946,-0.0512
2055,0.38,1.006,0.202,-0.522,-0.796,-0.01,0.93,-0.064
2056,0.376,1.0012,0.1944,-0.5324,-0.8132,-0.028,0.914,-0.0768
2057,0.372,0.9964,0.1868,-0.5428,-0.8304,-0.046,0.898,-0.0896
2058,0.368,0.9916,0.1792,-0.5532,-0.8476,-0.064,0.882,-0.1024
2059,0.364,0.9868,0.1716,-0.5636,-0.8648,-0.082,0.866,-0.1152
2060,0.36,0.982,0.164,-0.574,-0.882,-0.1,0.85,-0.128
2061,0.356,0.9772,0.1564,-0.5844,-0.8992,-0.118,0.834,-0.1408
2062,0.352,0.9724,0.1488,-0.5948,-0.9164,-0.136,0.818,-0.1536
2063,0.348,0.9676,0.1412,-0.6052,-0.9336,-0.154,0.802,-0.1664
2064,0.344,0.9628,0.1336,-0.6156,-0.9508,-0.172,0.786,-0.1792
2065,0.34,0.958,0.126,-0.626,-0.968,-0.19,0.77,-0.192
2066,0.336,0.9532,0.1184,-0.6364,-0.9852,-0.208,0.754,-0.2048
2067,0.332,0.9484,0.1108,-0.6468,-1.0024,-0.226,0.738,-0.2176
2068,0.328,0.9436,0.1032,-0.6572,-1.0196,-0.244,0.722,-0.2304
2069,0.324,0.9388,0.0956,-0.6676,-1.0368,-0.262,0.706,-0.2432
2070,0.32,0.934,0.088,-0.678,-1.054,-0.28,0.69,-0.256
2071,0.316,0.9292,0.0804,-0.6884,-1.0712,-0.298,0.674,-0.2688
2072,0.312,0.9244,0.0728,-0.6988,-1.0884,-0.316,0.658,-0.2816
2073,0.308,0.9196,0.0652,-0.7092,-1.1056,-0.334,0.642,-0.2944
2074,0.304,0.9148,0.0576,-0.7196,-1.1228,-0.352,0.626,-0.3072
2075,0.3,0.91,0.05,-0.73,-1.14,-0.37,0.61,-0.32
2076,0.298,0.8988,0.0444,-0.7348,-1.1536,-0.3888,0.5896,-0.3348
2077,0.296,0.8876,0.0388,-0.7396,-1.1672,-0.4076,0.5692,-0.3496
2078,0.294,0.8764,0.0332,-0.7444,-1.1808,-0.4264,0.5488,-0.3644
2079,0.292,0.8652,0.0276,-0.7492,-1.1944,-0.4452,0.5284,-0.3792
2080,0.29,0.854,0.022,-0.754,-1.208,-0.464,0.508,-0.394
2081,0.288,0.8428,0.0164,-0.7588,-1.2216,-0.4828,0.4876,-0.4088
2082,0.286,0.8316,0.0108,-0.7636,-1.2352,-0.5016,0.4672,-0.4236
2083,0.284,0.8204,0.0052,-0.7684,-1.2488,-0.5204,0.4468,-0.4384
2084,0.282,0.8092,-0.000399999999999997,-0.7732,-1.2624,-0.5392,0.4264,-0.4532
2085,0.28,0.798,-0.006,-0.778,-1.276,-0.558,0.406,-0.468
2086,0.278,0.7868,-0.0116,-0.7828,-1.2896,-0.5768,0.3856,-0.4828
2087,0.276,0.7756,-0.0172,-0.7876,-1.3032,-0.5956,0.3652,-0.4976
2088,0.274,0.7644,-0.0228,-0.7924,-1.3168,-0.6144,0.3448,-0.5124
2089,0.272,0.7532,-0.0284,-0.7972,-1.3304,-0.6332,0.3244,-0.5272
2090,0.27,0.742,-0.034,-0.802,-1.344,-0.652,0.304,-0.542
2091,0.268,0.7308,-0.0396,-0.8068,-1.3576,-0.6708,0.2836,-0.5568
2092,0.266,0.7196,-0.0452,-0.8116,-1.3712,-0.6896,0.2632,-0.5716
2093,0.264,0.7084,-0.0508,-0.8164,-1.3848,-0.7084,0.2428,-0.5864
2094,0.262,0.6972,-0.0564,-0.8212,-1.3984,-0.7272,0.2224,-0.6012
2095,0.26,0.686,-0.062,-0.826,-1.412,-0.746,0.202,-0.616
2096,0.258,0.6748,-0.0676,-0.8308,-1.4256,-0.7648,0.1816,-0.6308
2097,0.256,0.6636,-0.0732,-0.8356,-1.4392,-0.7836,0.1612,-0.6456
2098,0.254,0.6524,-0.0788,-0.8404,-1.4528,-0.8024,0.1408,-0.6604
2099,0.252,0.6412,-0.0844,-0.8452,-1.4664,-0.8212,0.1204,-0.6752
2100,0.25,0.63,-0.09,-0.85,-1.48,-0.84,0.1,-0.69
2101,0.245,0.6174,-0.0882,-0.833,-1.4504,-0.8232,0.098,-0.6762
2102,0.24,0.6048,-0.0864,-0.816,-1.4208,-0.8064,0.096,-0.6624
2103,0.235,0.5922,-0.0846,-0.799,-1.3912,-0.7896,0.094,-0.6486
2104,0.23,0.5796,-0.0828,-0.782,-1.3616,-0.7728,0.092,-0.6348
2105,0.225,0.567,-0.081,-0.765,-1.332,-0.756,0.09,-0.621
2106,0.22,0.5544,-0.0792,-0.748,-1.3024,-0.7392,0.088,-0.6072
2107,0.215,0.5418,-0.0774,-0.731,-1.2728,-0.7224,0.086,-0.5934
2108,0.21,0.5292,-0.0756,-0.714,-1.2432,-0.7056,0.084,-0.5796
2109,0.205,0.5166,-0.0738,-0.697,-1.2136,-0.6888,0.082,-0.5658
2110,0.2,0.504,-0.072,-0.68,-1.184,-0.672,0.08,-0.552
2111,0.195,0.4914,-0.0702,-0.663,-1.1544,-0.6552,0.078,-0.5382
2112,0.19,0.4788,-0.0684,-0.646,-1.1248,-0.6384,0.076,-0.5244
2113,0.185,0.4662,-0.0666,-0.629,-1.0952,-0.6216,0.074,-0.5106
2114,0.18,0.4536,-0.0648,-0.612,-1.0656,-0.6048,0.072,-0.4968
2115,0.175,0.441,-0.063,-0.595,-1.036,-0.588,0.07,-0.483
2116,0.17,0.4284,-0.0612,-0.578,-1.0064,-0.5712,0.068,-0.4692
2117,0.165,0.4158,-0.0594,-0.561,-0.9768,-0.5544,0.066,-0.4554
2118,0.16,0.4032,-0.0576,-0.544,-0.9472,-0.5376,0.064,-0.4416
2119,0.155,0.3906,-0.0558,-0.527,-0.9176,-0.5208,0.062,-0.4278
2120,0.15,0.378,-0.054,-0.51,-0.888,-0.504,0.06,-0.414
2121,0.145,0.3654,-0.0522,-0.493,-0.8584,-0.4872,0.058,-0.4002
2122,0.14,0.3528,-0.0504,-0.476,-0.8288,-0.4704,0.056,-0.3864
2123,0.135,0.3402,-0.0486,-0.459,-0.7992,-0.4536,0.054,-0.3726
2124,0.13,0.3276,-0.0468,-0.442,-0.7696,-0.4368,0.052,-0.3588
2125,0.125,0.315,-0.045,-0.425,-0.74,-0.42,0.05,-0.345
2126,0.12,0.3024,-0.0432,-0.408,-0.7104,-0.4032,0.048,-0.3312
