# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1.53,2.55,2.03,3.88,8.24,6.26,4.53,3.7
2030,1.28,1.85,1.7,3.45,5.77,5.69,4.37,3.34
2040,1.28,1.37,1.39,2.71,3.62,5.02,4.65,3.2
2050,1.14,1.14,1.19,1.62,2.19,4.14,4.69,2.93
2075,1.01,1.03,0.99,1.25,0.76,2.85,4.49,2.4
2100,0.93,0.96,0.8,0.98,0.11,1.61,3.59,1.65
2150,0.757085,0.766516,0.68771,0.786425,0.310103,1.145673,2.240613,1.16405
2200,0.591264,0.592737,0.553688,0.608626,0.343968,0.815954,1.430207,0.824267
2250,0.450901,0.449683,0.430242,0.461266,0.31204,0.582363,0.931898,0.586018
2300,0.339067,0.337247,0.327536,0.345313,0.259933,0.416899,0.618635,0.418424
