# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1.6,2.68,2.13,4.13,8.7,6.41,4.44,3.73
2030,1.36,1.94,1.75,3.75,6.01,5.64,4.18,3.28
2040,1.18,1.27,1.22,2.78,3.37,4.51,4.07,2.8
2050,0.93,0.92,0.87,1.32,1.73,3.38,3.61,2.28
2075,0.75,0.79,0.6,0.72,0.17,2.0,3.45,1.71
2100,0.63,0.67,0.38,0.5,-0.47,0.98,3.39,1.19
2150,0.228148,0.354398,0.065291,0.164265,-0.496983,0.49433,2.188564,0.725135
2200,0.010871,0.150639,-0.103077,-0.023148,-0.500881,0.216713,1.465935,0.426459
2250,-0.101481,0.027065,-0.185424,-0.121231,-0.480664,0.059907,1.011917,0.238425
2300,-0.154524,-0.043776,-0.218641,-0.167001,-0.445222,-0.026466,0.716276,0.121675
