# Index: time

time,exf_a
2020,0.8181369559950767
2030,0.7374733044586523
2040,0.633327042283144
2050,0.5328034132302417
2075,0.3885277986920762
2100,0.3152777122397685
2150,0.3152777122397685
2200,0.3152777122397685
2250,0.3152777122397685
2300,0.3152777122397685
