# Index: region

Region, impf_coeffconsregion_bayes
EU,-0.10394586317907871
US,-0.0913205330227332
OT,-0.11260026032513866
EE,-0.0876190329688737
CA,-0.10225761274286327
IA,-0.09958974210917489
AF,-0.09953275506807736
LA,-0.09961351565060024
