# Index: time

time,perm_tot_ce_ch4
2020,985.373753049204
2021,999.655522384435
2022,1013.93729171967
2023,1028.2190610549
2024,1042.50083039013
2025,1056.78259972536
2026,1071.06436906059
2027,1085.34613839582
2028,1099.62790773105
2029,1113.90967706629
2030,1128.19144640152
2031,1146.47729557152
2032,1164.76314474152
2033,1183.04899391152
2034,1201.33484308152
2035,1219.62069225153
2036,1237.90654142153
2037,1256.19239059153
2038,1274.47823976153
2039,1292.76408893153
2040,1311.04993810153
2041,1333.27692842243
2042,1355.50391874334
2043,1377.73090906424
2044,1399.95789938514
2045,1422.18488970604
2046,1444.41188002694
2047,1466.63887034784
2048,1488.86586066874
2049,1511.09285098964
2050,1533.31984131054
2051,1564.97442482286
2052,1596.62900833517
2053,1628.28359184749
2054,1659.93817535981
2055,1691.59275887213
2056,1723.24734238445
2057,1754.90192589677
2058,1786.55650940908
2059,1818.2110929214
2060,1849.86567643372
2061,1881.52025994604
2062,1913.17484345836
2063,1944.82942697067
2064,1976.48401048299
2065,2008.13859399531
2066,2039.79317750763
2067,2071.44776101995
2068,2103.10234453227
2069,2134.75692804458
2070,2166.4115115569
2071,2198.06609506922
2072,2229.72067858154
2073,2261.37526209386
2074,2293.02984560617
2075,2324.68442911849
2076,2362.52312740122
2077,2400.36182568394
2078,2438.20052396666
2079,2476.03922224938
2080,2513.87792053211
2081,2551.71661881483
2082,2589.55531709755
2083,2627.39401538028
2084,2665.232713663
2085,2703.07141194572
2086,2740.91011022844
2087,2778.74880851117
2088,2816.58750679389
2089,2854.42620507661
2090,2892.26490335934
2091,2930.10360164206
2092,2967.94229992478
2093,3005.7809982075
2094,3043.61969649023
2095,3081.45839477295
2096,3119.29709305567
2097,3157.1357913384
2098,3194.97448962112
2099,3232.81318790384
2100,3270.65188618656
2101,3315.85614520431
2102,3361.06040422205
2103,3406.26466323979
2104,3451.46892225753
2105,3496.67318127527
2106,3541.87744029302
2107,3587.08169931076
2108,3632.2859583285
2109,3677.49021734624
2110,3722.69447636398
2111,3767.89873538173
2112,3813.10299439947
2113,3858.30725341721
2114,3903.51151243495
2115,3948.71577145269
2116,3993.92003047044
2117,4039.12428948818
2118,4084.32854850592
2119,4129.53280752366
2120,4174.7370665414
2121,4219.94132555915
2122,4265.14558457689
2123,4310.34984359463
2124,4355.55410261237
2125,4400.75836163011
2126,4445.96262064786
2127,4491.1668796656
2128,4536.37113868334
2129,4581.57539770108
2130,4626.77965671882
2131,4671.98391573657
2132,4717.18817475431
2133,4762.39243377205
2134,4807.59669278979
2135,4852.80095180753
2136,4898.00521082528
2137,4943.20946984302
2138,4988.41372886076
2139,5033.6179878785
2140,5078.82224689624
2141,5124.02650591399
2142,5169.23076493173
2143,5214.43502394947
2144,5259.63928296721
2145,5304.84354198495
2146,5350.0478010027
2147,5395.25206002044
2148,5440.45631903818
2149,5485.66057805592
2150,5530.86483707366
2151,5579.61099421449
2152,5628.35715135532
2153,5677.10330849615
2154,5725.84946563697
2155,5774.5956227778
2156,5823.34177991863
2157,5872.08793705946
2158,5920.83409420028
2159,5969.58025134111
2160,6018.32640848194
2161,6067.07256562277
2162,6115.81872276359
