# Index: region
# Unit: Mtonne/year

Region,e_ch4_0
EU,23.703862910418515
US,28.819854489575487
OT,22.040189599972457
EE,38.946354314074185
CA,58.0
IA,73.0
AF,67.96044386752094
LA,58.66857071425942
