# Index: region
# Unit: TgS

region,se_0
EU,3.5378789924804637
US,4.813835350424239
OT,1.5079484230244602
EE,11.162373048339608
CA,32.34830927168424
IA,6.623701422297249
AF,11.230293878466096
LA,7.032523133427417
