# Index: region

Region, impf_coeffconsregion
EU,0.0028116944277519406
US,0.04550946992435712
OT,0.022695500378205533
EE,-0.020336346846789567
CA,0.07490061480668822
IA,0.3908480535271058
AF,0.25108716759226213
LA,0.2555098247958432
