# Index: region
# Unit: Mtonne/year

Region,e_co2_0
EU,4392.795590801157
US,6172.501689133962
OT,2433.951770163234
EE,3379.0269604765044
CA,9909.76823843261
IA,6027.524173801391
AF,5185.449999714387
LA,3722.8412632553154
