"Region","co2mu","co2sd"
"ABW",0.0921048905524457,0.0332967147722782
"AFG",12.9404176775574,7.11168160600192
"AGO",20.6985750165588,2.18350354376635
"ALB",5.7436872217362,0.286568876896706
"ARE",214.921191582157,16.8918032445325
"ARG",204.098395640224,15.414435924909
"ARM",8.51987020103638,0.991701809820747
"AUS",428.530422238443,24.4301154639406
"AUT",66.482870903056,6.27001085260229
"AZE",32.0110996583102,3.93974700799619
"BDI",1.40864131833687,0.254728441190285
"BEL",106.182451290566,9.16007215928052
"BEN",6.43140046312646,0.227614783818602
"BFA",4.29423349344996,0.921820401884594
"BGD",92.8234175668008,6.45007263459924
"BGR",35.3219038239407,3.50505343430861
"BHR",30.8094085269264,2.67361331814507
"BHS",1.22782913721971,0.305669269810063
"BIH",16.2626478196129,0.983585309396039
"BLR",75.0106968155389,8.19807779795485
"BLZ",0.573018754821284,0.0408342650148
"BOL",20.8967728573481,0.665468075025394
"BRA",514.676941740393,25.1487409008357
"BRB",0.754634808541349,0.105103901628812
"BRN",6.26127992319642,0.902872009128288
"BTN",0.758837718340825,0.214759235159474
"BWA",9.70938825748767,1.61268461745231
"CAF",0.808314943618328,0.139653677427347
"CAN",532.955430946896,24.8308239327633
"CHE",43.3146168333667,4.25840066641582
"CHL",98.9563609766896,9.0523561174862
"CHN",10493.0052354088,522.546454697316
"CIV",6.36419968608265,1.86879992010845
"CMR",6.27328999663145,0.804932882387936
"COD",6.31218903023135,1.20242427750426
"COG",6.81962336323913,0.455321152335538
"COL",88.0323987824808,4.31131754887899
"COM",0.155083362501003,0.0254552938179846
"CPV",0.258935823550462,0.0388407703691036
"CRI",11.8288536293544,3.20097368256891
"CUB",26.6833902459667,2.83348339905298
"CYP",7.02046290108529,0.961925612156031
"CZE",97.3882024932563,6.02455905187991
"DEU",804.183219943885,18.3140163872047
"DJI",0.340730159832805,0.0932883717668306
"DNK",43.2331903725624,3.55847134465301
"DOM",25.1661249666174,1.23030478174231
"DZA",167.829017548609,20.0263423392151
"ECU",42.3931445929743,3.14098461235343
"EGY",293.898236194705,37.4401741351462
"ERI",0.872221642017268,0.181543888619836
"ESP",287.934277228737,19.8393227801698
"EST",15.2056087997966,1.69938145559013
"ETH",18.6983336568789,6.29037503094165
"FIN",58.0859205621041,8.10727174417994
"FJI",1.38370726188944,0.317148996435156
