# Index: region
# Unit: Mtonne/year

Region,e_n2o_0
EU,1.399764929250967
US,1.2346196875715312
OT,0.6636265235351099
EE,0.45491034192878316
CA,2.489921384411371
IA,1.043859725383347
AF,2.0063001511278067
LA,1.9298107374456253
