"ISO","CC.2015","HA.2015","INFORM.2015","VU.2015","CC.2020","HA.2020","INFORM.2020","VU.2020","CC.2023","HA.2023","INFORM.2023","VU.2023","Country","HA.2050.Pess","HA.2050.Opt","HA.2080.Pess","HA.2080.Opt"
"AFG",7.6,8.9,8,7.7,7.2,8.9,8.1,8.4,7.1,8.9,8.1,8.5,"Afghanistan",9,8.9,9,9
"AGO",7.1,2.8,4.7,5.1,6.8,3.5,5,5.2,6.9,2.7,4.6,5.1,"Angola",4.2,3.9,4.5,3.8
"ALB",4.5,3.8,3.1,1.7,4.3,3.8,3.1,1.8,4.4,3.8,3.1,1.7,"Albania",3.9,3.9,4,3.9
"ARE",1.9,2.4,1.7,1,1.8,2.4,1.7,1.1,1.8,2.4,1.7,1.2,"United Arab Emirates",2.6,2.6,2.6,2.6
"ARG",3.6,2.3,2.4,1.6,3.4,2.3,2.8,2.9,3.6,2.4,2.9,2.9,"Argentina",2.7,2.6,2.8,2.6
"ARM",4.8,2.5,3.3,2.9,4.6,2.5,3.5,3.6,4.5,8.4,4.6,2.6,"Armenia",2.6,2.5,2.6,2.5
"ATG",3.8,2,2.3,1.6,3.6,2,2.3,1.6,3.7,2,2.2,1.5,"Antigua and Barbuda",2.2,2.2,1.9,2.1
"AUS",2.1,2.8,2.2,1.8,2.1,2.9,2.4,2.2,2.1,2.9,2.4,2.2,"Australia",3,3,3,3
"AUT",1.4,1.3,1.6,2.2,1.5,1.5,1.8,2.6,1.5,1.5,1.9,3,"Austria",1.6,1.6,1.7,1.6
"AZE",4.8,3.9,4.5,4.9,4.5,3.9,4.4,5,4.6,8.5,5.8,5,"Azerbaijan",4.6,4.5,4.6,4.5
"BDI",7,3.7,5.5,6.4,6.8,4.9,6,6.4,6.8,4.7,6,6.6,"Burundi",5.6,5.6,5.8,5.6
"BEL",1.7,1,1.4,1.6,1.8,1.4,1.7,2,1.9,1.1,1.7,2.5,"Belgium",1.2,1.3,1.3,1.3
"BEN",7,1.6,3.7,4.5,6.7,1.7,3.8,4.7,6.7,1.7,3.8,4.7,"Benin",2.5,2.2,2.7,2.2
"BFA",6.8,2,4.4,6.4,6.5,5.6,6.4,7.2,6.4,7.1,7,7.7,"Burkina Faso",7.3,7.3,7.3,7.3
"BGD",5.3,6.8,5.8,5.4,4.9,6.5,5.6,5.6,4.9,6.3,5.5,5.5,"Bangladesh",7,6.8,7,6.7
"BGR",3.1,2,2.4,2.3,2.9,2,2.4,2.3,3.2,2,2.7,3.2,"Bulgaria",2.3,2.2,2.4,2.2
"BHR",2.8,0.7,1.4,1.4,3.1,0.7,1.4,1.2,3,0.5,1.2,1.1,"Bahrain",0.9,0.9,1.1,1
"BHS",2.9,1.8,2.1,1.8,3,1.8,2.2,2,3.1,1.8,2.1,1.7,"Bahamas",2.1,2.1,2.1,2.1
"BIH",4.4,2.3,3.6,4.7,4.7,2.3,3.4,3.7,4.9,2.3,3.5,3.8,"Bosnia and Herzegovina",2.5,2.4,2.6,2.4
"BLR",3.2,1,1.5,1.1,2.8,1.1,1.5,1.2,3,1.1,1.8,1.7,"Belarus",1.3,1.2,1.4,1.3
"BLZ",5.3,3.2,3.6,2.7,5.2,3.2,3.7,3,5.2,3.2,3.9,3.6,"Belize",3.5,3.5,3.7,3.5
"BOL",5.5,2.7,3.7,3.5,5.4,2.8,3.8,3.7,5.3,3.1,4,3.8,"Bolivia",3.4,3.3,3.6,3.3
