# Index: region

Region, impf_coeffquadrregion
EU,-6.589588822829189e-4
US,-4.930689164122343e-4
OT,-6.018588172029741e-4
EE,-6.503382557688012e-4
CA,-4.8029953805059963e-4
IA,5.974861183186228e-4
AF,-7.189916115113083e-4
LA,7.90284259362204e-5
