# Index: region

Region, impf_coefflinearregion_bayes
EU,0.016778919178202237
US,0.013454251728767158
OT,0.016494824209702184
EE,0.01658623965486268
CA,0.014147304068527754
IA,0.019680709697788883
AF,0.01695479320678946
LA,0.01743093912793151
