# Index: region
# Unit: million person

region,pop_0
EU,503.7099111362591
US,317.53104237015043
OT,276.85575414398255
EE,307.4627436558867
CA,1551.0220066521085
IA,2212.9144884903135
AF,1322.8725553904035
LA,608.7271629286752
