# Index: region

Region, impf_coeffquadrregion_bayes
EU,-6.589588822829189e-4
US,-4.930689164122343e-4
OT,-6.018588172029741e-4
EE,-6.503382557688012e-4
CA,-4.8029953805059963e-4
IA,-6.235809776305397e-4
AF,-5.449994771735894e-4
LA,-5.945701704729174e-4
