# Index: time

time,perm_tot_e_co2
2193,2304.55613655614
2194,2303.13606752579
2195,2301.71599849543
2196,2300.29592946507
2197,2298.87586043472
2198,2297.45579140436
2199,2296.03572237401
2200,2294.61565334365
2201,2291.39380876204
2202,2288.17196418042
2203,2284.95011959881
2204,2281.7282750172
2205,2278.50643043558
2206,2275.28458585397
2207,2272.06274127235
2208,2268.84089669074
2209,2265.61905210913
2210,2262.39720752751
2211,2259.1753629459
2212,2255.95351836429
2213,2252.73167378267
2214,2249.50982920106
2215,2246.28798461945
2216,2243.06614003783
2217,2239.84429545622
2218,2236.6224508746
2219,2233.40060629299
2220,2230.17876171138
2221,2226.95691712976
2222,2223.73507254815
2223,2220.51322796654
2224,2217.29138338492
2225,2214.06953880331
2226,2210.8476942217
2227,2207.62584964008
2228,2204.40400505847
2229,2201.18216047685
2230,2197.96031589524
2231,2194.73847131363
2232,2191.51662673201
2233,2188.2947821504
2234,2185.07293756879
2235,2181.85109298717
2236,2178.62924840556
2237,2175.40740382395
2238,2172.18555924233
2239,2168.96371466072
2240,2165.7418700791
2241,2162.52002549749
2242,2159.29818091588
2243,2156.07633633426
2244,2152.85449175265
2245,2149.63264717104
2246,2146.41080258942
2247,2143.18895800781
2248,2139.96711342619
2249,2136.74526884458
2250,2133.52342426297
2251,2130.39719876561
2252,2127.27097326826
2253,2124.1447477709
2254,2121.01852227355
2255,2117.89229677619
2256,2114.76607127884
2257,2111.63984578148
2258,2108.51362028412
2259,2105.38739478677
2260,2102.26116928941
2261,2099.13494379206
2262,2096.0087182947
2263,2092.88249279735
2264,2089.75626729999
2265,2086.63004180264
2266,2083.50381630528
2267,2080.37759080793
2268,2077.25136531057
2269,2074.12513981322
2270,2070.99891431586
2271,2067.8726888185
2272,2064.74646332115
2273,2061.62023782379
2274,2058.49401232644
2275,2055.36778682908
2276,2052.24156133173
2277,2049.11533583437
2278,2045.98911033702
2279,2042.86288483966
2280,2039.73665934231
2281,2036.61043384495
2282,2033.4842083476
2283,2030.35798285024
2284,2027.23175735288
2285,2024.10553185553
2286,2020.97930635817
2287,2017.85308086082
2288,2014.72685536346
2289,2011.60062986611
2290,2008.47440436875
2291,2005.3481788714
2292,2002.22195337404
2293,1999.09572787669
2294,1995.96950237933
2295,1992.84327688198
2296,1989.71705138462
2297,1986.59082588727
2298,1983.46460038991
2299,1980.33837489255
2300,1977.2121493952
