# Index: time

time,perm_tot_e_co2
2020,812.056765890452
2021,845.593522075484
2022,879.130278260516
2023,912.667034445547
2024,946.203790630579
2025,979.740546815611
2026,1013.27730300064
2027,1046.81405918567
2028,1080.35081537071
2029,1113.88757155574
2030,1147.42432774077
2031,1178.36476159706
2032,1209.30519545335
2033,1240.24562930965
2034,1271.18606316594
2035,1302.12649702223
2036,1333.06693087852
2037,1364.00736473482
2038,1394.94779859111
2039,1425.8882324474
2040,1456.82866630369
2041,1485.22536199375
2042,1513.62205768382
2043,1542.01875337388
2044,1570.41544906394
2045,1598.812144754
2046,1627.20884044406
2047,1655.60553613413
2048,1684.00223182419
2049,1712.39892751425
2050,1740.79562320431
2051,1761.12527662271
2052,1781.45493004111
2053,1801.78458345951
2054,1822.11423687791
2055,1842.44389029631
2056,1862.77354371471
2057,1883.10319713311
2058,1903.43285055151
2059,1923.76250396991
2060,1944.09215738831
2061,1964.42181080671
2062,1984.7514642251
2063,2005.0811176435
2064,2025.4107710619
2065,2045.7404244803
2066,2066.0700778987
2067,2086.3997313171
2068,2106.7293847355
2069,2127.0590381539
2070,2147.3886915723
2071,2167.7183449907
2072,2188.0479984091
2073,2208.3776518275
2074,2228.7073052459
2075,2249.0369586643
2076,2257.56029467818
2077,2266.08363069206
2078,2274.60696670595
2079,2283.13030271983
2080,2291.65363873371
2081,2300.1769747476
2082,2308.70031076148
2083,2317.22364677536
2084,2325.74698278924
2085,2334.27031880313
2086,2342.79365481701
2087,2351.31699083089
2088,2359.84032684478
2089,2368.36366285866
2090,2376.88699887254
2091,2385.41033488643
2092,2393.93367090031
2093,2402.45700691419
2094,2410.98034292808
2095,2419.50367894196
2096,2428.02701495584
2097,2436.55035096972
2098,2445.07368698361
2099,2453.59702299749
2100,2462.12035901137
2101,2460.19033392837
2102,2458.26030884538
2103,2456.33028376238
2104,2454.40025867938
2105,2452.47023359638
2106,2450.54020851338
2107,2448.61018343038
2108,2446.68015834738
2109,2444.75013326439
2110,2442.82010818139
2111,2440.89008309839
2112,2438.96005801539
2113,2437.03003293239
2114,2435.10000784939
2115,2433.16998276639
2116,2431.2399576834
2117,2429.3099326004
2118,2427.3799075174
2119,2425.4498824344
2120,2423.5198573514
2121,2421.5898322684
2122,2419.6598071854
2123,2417.72978210241
2124,2415.79975701941
2125,2413.86973193641
2126,2411.93970685341
2127,2410.00968177041
2128,2408.07965668741
2129,2406.14963160441
2130,2404.21960652141
2131,2402.28958143842
2132,2400.35955635542
2133,2398.42953127242
2134,2396.49950618942
2135,2394.56948110642
2136,2392.63945602342
2137,2390.70943094042
2138,2388.77940585743
2139,2386.84938077443
2140,2384.91935569143
2141,2382.98933060843
2142,2381.05930552543
2143,2379.12928044243
2144,2377.19925535943
2145,2375.26923027644
2146,2373.33920519344
2147,2371.40918011044
2148,2369.47915502744
2149,2367.54912994444
2150,2365.61910486144
2151,2364.19903583109
2152,2362.77896680073
2153,2361.35889777038
2154,2359.93882874002
2155,2358.51875970966
2156,2357.09869067931
2157,2355.67862164895
2158,2354.2585526186
2159,2352.83848358824
2160,2351.41841455788
2161,2349.99834552753
2162,2348.57827649717
2163,2347.15820746682
2164,2345.73813843646
2165,2344.31806940611
2166,2342.89800037575
2167,2341.47793134539
2168,2340.05786231504
2169,2338.63779328468
2170,2337.21772425433
2171,2335.79765522397
2172,2334.37758619361
2173,2332.95751716326
2174,2331.5374481329
2175,2330.11737910255
2176,2328.69731007219
2177,2327.27724104184
2178,2325.85717201148
2179,2324.43710298112
2180,2323.01703395077
2181,2321.59696492041
2182,2320.17689589006
2183,2318.7568268597
2184,2317.33675782934
2185,2315.91668879899
2186,2314.49661976863
2187,2313.07655073828
2188,2311.65648170792
2189,2310.23641267756
2190,2308.81634364721
2191,2307.39627461685
2192,2305.9762055865
