Country,ISO3,Pop2015,GDP2015,LandArea,MarineArea,Temp1980,Temp2010
Rwanda,RWA,11.642959,20727.87133,25305.06,0.00,18.73,19.42
Guinea,GIN,11.6259985,22706.69207,244301.98,102163.00,25.81,26.20
Tunisia,TUN,11.5577785,122945.4114,156611.69,99701.00,19.47,20.38
Cuba,CUB,11.339894,132939.1172,109929.18,352259.00,25.26,25.62
Belgium,BEL,11.2483035,520878.0522,30669.83,3495.00,9.71,10.59
South Sudan,SSD,11.1942995,12827.97628,626861.83,0.00,27.04,28.25
Bolivia (Plurinational State of),BOL,11.0900855,78777.66197,1086810.65,0.00,19.62,20.44
Benin,BEN,10.9327835,30961.68709,116113.31,35493.00,27.34,27.93
Greece,GRC,10.806641,289570.7603,131353.44,482910.00,14.08,15.14
Burundi,BDI,10.7271485,8809.630119,27041.27,0.00,19.91,20.58
Haiti,HTI,10.563757,31841.58993,26891.57,117375.00,25.07,25.64
Czechia,CZE,10.5237975,357503.8762,78758.87,0.00,7.68,8.88
Dominican Republic,DOM,10.405832,154909.3214,48439.79,363805.00,23.81,24.37
Portugal,PRT,10.3654355,307229.8157,91391.04,768297.00,14.89,15.26
Azerbaijan,AZE,9.86348,145466.4463,86249.81,80614.00,11.25,12.39
Sweden,SWE,9.8493485,481170.7377,446178.44,155347.00,2.55,3.42
Hungary,HUN,9.844246,263781.8719,93200.95,0.00,10.41,11.69
Belarus,BLR,9.700609,171563.0804,207499.14,0.00,6.34,7.70
Jordan,JOR,9.4942465,85588.34812,88863.16,97.00,18.65,19.98
Honduras,HND,9.2945055,44760.24507,112236.70,210711.00,23.33,23.86
United Arab Emirates,ARE,8.916899,609998.2211,71084.64,57847.00,27.12,28.38
Papua New Guinea,PNG,8.682174,32085.42835,465147.38,2403355.00,23.23,23.70
Austria,AUT,8.642421,430975.9981,83993.20,0.00,5.97,7.50
Tajikistan,TJK,8.5240625,25719.49503,142238.26,0.00,-0.12,0.73
Switzerland,CHE,8.281732,540550.9537,41435.80,0.00,5.51,6.68
Israel,ISR,8.007778,300546.1942,22101.43,24628.00,19.14,20.48
Serbia,SRB,7.519496,105915.2999,77628.71,0.00,10.56,11.77
Togo,TGO,7.4732285,14404.27315,56863.48,15447.00,26.66,27.27
"China, Hong Kong SAR",HKG,7.3998385,408626.6372,1036.21,0.00,22.64,23.18
Sierra Leone,SLE,7.314773,11285.17334,71611.72,160584.00,25.66,25.96
Bulgaria,BGR,7.3092535,131965.5957,112760.69,34745.00,10.59,11.81
Lao People's Democratic Republic,LAO,6.787419,41395.26925,228113.99,0.00,22.67,23.35
Lebanon,LBN,6.3989395,110329.0482,10004.10,20184.00,16.49,17.79
Nicaragua,NIC,6.298598,33507.48249,128684.57,213813.00,25.05,25.55
El Salvador,SLV,6.231066,49059.65894,20539.23,95099.00,24.96,25.66
Libya,LBY,6.192235,116940.8312,1623760.90,364524.00,21.71,22.71
Paraguay,PRY,6.17795,78091.62093,399901.06,0.00,23.42,24.13
Kyrgyzstan,KGZ,5.9149805,25086.54478,198990.45,0.00,1.06,1.64
Turkmenistan,TKM,5.7664315,79032.3577,470850.40,61226.00,15.89,16.87
Denmark,DNK,5.677796,278748.3515,42696.43,105021.00,8.18,9.02
Singapore,SGP,5.650018,482409.6715,510.50,714.00,26.47,27.19
Finland,FIN,5.479461,232867.4919,333059.06,81553.00,1.77,2.92
Slovakia,SVK,5.4244445,163007.5761,48457.79,0.00,7.67,9.07
Norway,NOR,5.1903565,315145.0247,382066.56,933167.00,-1.77,-0.04
Congo,COG,5.064386,24035.7791,344888.68,33807.00,24.21,24.99
Costa Rica,CRI,4.895242,84436.7927,51151.20,599063.00,23.09,23.52
Central African Republic,CAF,4.819333,3559.349379,617984.24,0.00,25.42,26.17
Ireland,IRL,4.66576,325443.236,69445.03,427039.00,9.62,9.77
Liberia,LBR,4.612329,6245.65413,95298.15,251781.00,24.92,25.25
New Zealand,NZL,4.59059,172797.416,268500.74,4104551.00,10.07,10.60
State of Palestine,PSE,4.4846135,24638.35554,6074.33,1120.00,19.02,20.42
Croatia,HRV,4.254815,98618.93131,55022.59,55502.00,11.26,12.47
Oman,OMN,4.1917765,150899.6411,311213.46,556490.00,27.74,28.26
Panama,PAN,3.9570985,108461.0885,74530.31,331318.00,24.48,25.19
Mauritania,MRT,3.9462195,15775.04497,1036391.86,173180.00,26.99,27.65
Kuwait,KWT,3.908743,173580.8446,17474.02,11179.00,25.48,26.61
Georgia,GEO,3.771132,45707.84345,69570.73,22944.00,6.96,8.34
Bosnia and Herzegovina,BIH,3.524324,41675.86937,51826.54,13.00,9.49,10.92
Puerto Rico,PRI,3.497335,114269.1319,9005.98,172958.00,25.28,25.72
Uruguay,URY,3.4028175,74664.26013,177342.31,184506.00,17.39,17.78
Eritrea,ERI,3.340006,264.4144667,122537.73,78355.00,26.67,27.41
Republic of Moldova,MDA,3.277388,26084.24338,33206.48,0.00,9.35,10.92
Mongolia,MNG,2.9647485,31655.86002,1564648.99,0.00,0.58,1.16
