iso,b,se,meantemp,fit
"SUR",-.0170548,.0326026,26.93229,-.0135186
"SVK",-.0090677,.0180054,8.290384,.004642
"SVN",-.0008886,.0148874,8.5635,.004376
"SWE",-.0026333,.0037866,5.6502,.007214
"SWZ",-.0384372,.0218074,19.9735,-.0067395
"SYR",-.0280495,.0218372,17.32915,-.0041634
"TCD",-.0256376,.0330563,27.9002,-.0144615
"TGO",-.0053201,.0352187,26.3146,-.0129168
"THA",-.0173976,.0192141,27.01022,-.0135945
"TJK",.1370772,.0329247,11.8964,.0011291
"TKM",.051554,.0502163,15.78304,-.0026572
"TTO",.0160922,.0248385,25.4856,-.0121092
"TUN",-.024977,.0126395,18.77889,-.0055757
"TUR",-.017626,.0099288,12.2978,.0007381
"TZA",.0073045,.0169566,22.48636,-.0091874
"UGA",-.0020624,.0191499,22.40607,-.0091092
"UKR",.0304004,.033018,8.57,.0043696
"URY",.0046646,.0160816,17.9604,-.0047783
"USA",-.0020497,.0086984,13.4374,-.0003721
"UZB",.0317195,.0198042,14.23739,-.0011514
"VCT",.0605124,.0308033,26.4066,-.0130065
"VEN",-.0176828,.0227694,25.2592,-.0118887
"VNM",-.0193263,.0074,24.84846,-.0114885
"VUT",-.0255441,.0391508,24.84258,-.0114828
"WSM",-.0145898,.0163358,26.14571,-.0127523
"YEM",.0079646,.006485,23.12,-.0098047
"ZAF",-.0327079,.0104819,17.4424,-.0042737
"ZAR",.0193025,.0348557,23.2356,-.0099173
"ZMB",-.0313179,.0149548,21.185,-.0079197
"ZWE",-.0185134,.0270221,20.3022,-.0070597
