"year","AF","CA","EE","EU","IA","LA","OT","US"
2010,131.940249312387,121.064333812634,137.068795648486,174.053016774273,121.064333812634,148.061163910432,174.053016774273,174.053016774273
2020,100,100,100,100,100,100,100,100
2030,58.812241281834,47.0214854220422,55.9458048684247,49.2951327960471,47.0214854220422,59.1163367058274,49.2951327960471,49.2951327960471
2040,44.8611817678281,26.4226694336363,38.4288098208794,34.343391854433,26.4226694336363,47.6376384983897,34.343391854433,34.343391854433
2050,38.7315016471216,16.4568344919892,26.282815805763,26.4858595936384,16.4568344919892,39.4050814554938,26.4858595936384,26.4858595936384
2060,35.786518850968,12.5078072027694,20.8516152955578,22.1483509748429,12.5078072027694,34.3784694395931,22.1483509748429,22.1483509748429
2070,33.2551614127355,10.2222825884045,17.439135815839,19.1506183855807,10.2222825884045,30.9903524316649,19.1506183855807,19.1506183855807
2080,30.2961822912801,8.27152052593704,14.9653529898262,16.9880362298472,8.27152052593704,27.9540021478708,16.9880362298472,16.9880362298472
2090,27.0961797573541,6.67604013700363,13.6142840121336,15.4346818796095,6.67604013700363,25.6171816252028,15.4346818796095,15.4346818796095
2100,23.8505278805583,5.54496737746429,11.713891321388,14.2799567386279,5.54496737746429,24.0131240059602,14.2799567386279,14.2799567386279
