"year","AF","CA","EE","EU","IA","LA","OT","US"
2010,46.3805198636546,43.05737977312,67.739623916279,94.0456306364025,43.05737977312,65.7676186656963,94.0456306364025,94.0456306364025
2020,100,100,100,100,100,100,100,100
2030,80.5079295577599,77.7311454393708,62.4463556988412,55.4360298313536,77.7311454393708,79.755835383893,55.4360298313536,55.4360298313536
2040,47.7055738418729,50.1450624162835,37.1545569176888,29.3475302223729,50.1450624162835,51.1074679612242,29.3475302223729,29.3475302223729
2050,45.4284122812954,48.0802378642321,30.3493901693013,23.316515794384,48.0802378642321,48.0117831608303,23.316515794384,23.316515794384
2060,51.4117493421811,41.5139296452077,24.5173070115538,19.821294032985,41.5139296452077,47.82730887126,19.821294032985,19.821294032985
2070,60.9850462340233,36.7121718018573,19.1705921125285,17.5336896812117,36.7121718018573,45.9118340926892,17.5336896812117,17.5336896812117
2080,77.7697510880619,35.5585546840199,18.2025514134127,17.0149674236394,35.5585546840199,46.9423775259019,17.0149674236394,17.0149674236394
2090,94.7776453576844,34.027936230768,17.1205882187762,16.6306565643659,34.027936230768,44.7765140674261,16.6306565643659,16.6306565643659
2100,97.1857445210537,32.3068072511518,16.1085971948471,16.4366712291852,32.3068072511518,42.4100168557408,16.4366712291852,16.4366712291852
