"year","AF","CA","EE","EU","IA","LA","OT","US"
2010,110.878780522854,124.963011753578,118.467897317327,136.672766781063,124.963011753578,124.202999280531,136.672766781063,136.672766781063
2020,100,100,100,100,100,100,100,100
2030,83.2762959960114,67.5530602826478,77.0322034696762,71.1783913923566,67.5530602826478,73.4967639496383,71.1783913923566,71.1783913923566
2040,72.8470917383296,50.7432389594832,66.1192306143902,62.4324476628725,50.7432389594832,66.8844390064073,62.4324476628725,62.4324476628725
2050,65.4469529657722,37.8146710173244,57.5265635088834,53.0732220136453,37.8146710173244,56.5271421488223,53.0732220136453,53.0732220136453
2060,62.8779146478133,31.6997369116619,52.8824263275702,48.8242701034227,31.6997369116619,52.4873925352591,48.8242701034227,48.8242701034227
2070,59.7861659020867,27.789546816339,48.9216450188794,44.9787141200093,27.789546816339,49.693642035097,44.9787141200093,44.9787141200093
2080,55.4460457924815,24.5044772958127,46.1799539866423,42.2360521482781,24.5044772958127,46.5557919640555,42.2360521482781,42.2360521482781
2090,51.3112326075292,21.6020506865156,43.4142845686053,39.5605474242353,21.6020506865156,43.4763050701013,39.5605474242353,39.5605474242353
2100,47.2193545596788,19.4032087408933,40.5098180801108,37.5382441002751,19.4032087408933,41.2739483042814,37.5382441002751,37.5382441002751
