"year","AF","CA","EE","EU","IA","LA","OT","US"
2010,95.2756653441772,97.5908499870822,99.1185191499586,111.288076387984,97.5908499870822,98.1110597300508,111.288076387984,111.288076387984
2020,100,100,100,100,100,100,100,100
2030,85.4156024068835,80.203433403613,69.876664104034,79.2612197605867,80.203433403613,83.6630563979496,79.2612197605867,79.2612197605867
2040,89.2601854823733,76.6633378176507,67.2668598213765,73.7567791231965,76.6633378176507,75.9772822509603,73.7567791231965,73.7567791231965
2050,92.8896169262398,70.9409543627934,61.9942594852313,70.5919822698709,70.9409543627934,69.2699059166218,70.5919822698709,70.5919822698709
2060,88.5049248643551,64.6373511450268,60.7553266852942,67.5161943031577,64.6373511450268,67.1199133624807,67.5161943031577,67.5161943031577
2070,88.4476385828188,57.0998998070129,58.5816187025393,64.2141758428919,57.0998998070129,64.7456731984911,64.2141758428919,64.2141758428919
2080,88.6048440003989,52.507980963816,55.859675368596,61.4328154390968,52.507980963816,62.6296255595381,61.4328154390968,61.4328154390968
2090,88.0060227769969,47.8569883665833,51.7732805029515,57.9370469627872,47.8569883665833,59.6863176423577,57.9370469627872,57.9370469627872
2100,84.7352364732095,44.0990796349003,46.7469057622561,54.4293789795625,44.0990796349003,56.8619794139774,54.4293789795625,54.4293789795625
