"period","model","scenario","gsat","period.base","scenario.base","gsat.base","warming"
"2081-2100","BCC-CSM2-MR","ssp126",16.4083466952213,"1995-2015","historical",15.5087141036295,1.7496325915918
"2081-2100","CanESM5","ssp126",16.6872568617865,"1995-2015","historical",15.0772061551407,2.4600507066458
"2081-2100","CNRM-CM6-1","ssp126",14.9815759560194,"1995-2015","historical",13.6941929919918,2.1373829640276
"2081-2100","CNRM-ESM2-1","ssp126",15.6382883213622,"1995-2015","historical",14.3846144978767,2.1036738234855
"2081-2100","GFDL-ESM4","ssp126",16.0183100465213,"1995-2015","historical",15.2276132933493,1.640696753172
"2081-2100","IPSL-CM6A-LR","ssp126",15.4830612882171,"1995-2015","historical",14.0381205876193,2.2949407005978
"2081-2100","MIROC-ES2L","ssp126",17.202454328466,"1995-2015","historical",16.2339365607492,1.8185177677168
"2081-2100","MIROC6","ssp126",17.3051208982947,"1995-2015","historical",16.4311354603905,1.7239854379042
"2081-2100","MRI-ESM2-0","ssp126",16.2301685364541,"1995-2015","historical",15.2007832312078,1.8793853052463
"2081-2100","BCC-CSM2-MR","ssp370",18.5370011492139,"1995-2015","historical",15.5087141036295,3.8782870455844
"2081-2100","CanESM5","ssp370",19.6848691673527,"1995-2015","historical",15.0772061551407,5.457663012212
"2081-2100","CNRM-CM6-1","ssp370",17.1759806772682,"1995-2015","historical",13.6941929919918,4.3317876852764
"2081-2100","CNRM-ESM2-1","ssp370",17.6793274712243,"1995-2015","historical",14.3846144978767,4.1447129733476
"2081-2100","GFDL-ESM4","ssp370",17.8072521126849,"1995-2015","historical",15.2276132933493,3.4296388193356
"2081-2100","IPSL-CM6A-LR","ssp370",17.8777417549269,"1995-2015","historical",14.0381205876193,4.6896211673076
"2081-2100","MIROC-ES2L","ssp370",18.8172181157668,"1995-2015","historical",16.2339365607492,3.4332815550176
"2081-2100","MIROC6","ssp370",18.8091226958769,"1995-2015","historical",16.4311354603905,3.2279872354864
"2081-2100","MRI-ESM2-0","ssp370",18.0485272208761,"1995-2015","historical",15.2007832312078,3.6977439896683
