"run_id","ssp126","ssp370"
430,1.05742496905349,2.16016034609779
1914,1.07405474600841,2.17747816684277
151,1.14334140555984,2.14906897996102
956,1.07774281520177,2.29189372268922
704,1.08335043401487,2.36658973456655
303,1.22278987946174,2.27821692351851
259,1.15105687063939,2.35852545583357
1410,1.15641879518743,2.37608409015012
1068,1.20456523331882,2.33850548701309
1829,1.16671342262753,2.39083479823879
743,1.0141707418242,2.55103654959926
1164,1.296620347782,2.27708056774512
700,1.14446721165413,2.46157338443797
694,1.18524236458443,2.44645434886846
1693,1.20594736633892,2.43161164515583
1906,1.14796430605963,2.50816524378516
1843,1.13038283827596,2.53855265445001
2044,1.28740861366132,2.39016585581917
1150,1.15501545056662,2.52867009247146
2181,1.06369886943135,2.62290346616224
1208,1.22749087122166,2.4777712086709
1958,1.15491701309319,2.55040639231737
1591,1.24490517645469,2.46772529907674
716,1.3030511878625,2.41424789022604
1151,1.16306730708634,2.55584794913813
620,1.23640161033859,2.48920054459957
1447,1.22087098014224,2.51219617911897
1650,1.28882123942848,2.4446080592205
1278,1.20190085990649,2.53192226920331
2159,1.21586632075136,2.5198008080727
2,1.20522024652302,2.53437165783348
760,1.15456495591521,2.5850299192647
441,1.24548914706525,2.50130543049593
579,1.12697280931798,2.63166774028691
1838,1.28217048559062,2.48011206506094
1999,1.22361605487584,2.53883464998942
1985,1.26380524798528,2.50614218667994
691,1.1658208530662,2.60609120183054
2210,1.27017663435582,2.5078264634966
1181,1.1418859685128,2.63775360158515
389,1.26801805339418,2.51295925866556
1686,1.22924254668842,2.57068049794341
2068,1.32184912375707,2.47838285942206
2021,1.20965519779264,2.6079597481796
2035,1.22444517092442,2.59882163947445
819,1.23212599191292,2.59585884247497
686,1.32458184628569,2.50387024644517
226,1.25253035303919,2.58126167758589
2036,1.26631316966515,2.57220609556766
2226,1.19576971245356,2.65029146062426
84,1.11558823131039,2.73220863061078
1701,1.19994466256084,2.65024873080398
1782,1.20476411989418,2.64986825843495
1797,1.15470435917222,2.70104851379544
1071,1.27500158458543,2.58227437004816
706,1.16350777237774,2.69950483965451
897,1.29744171742633,2.57580075056419
2200,1.33842355407697,2.53713501089374
1900,1.3143027321607,2.567181371994
45,1.30750074085766,2.58828332322897
1136,1.23958621129259,2.65839346294555
1433,1.2051262858104,2.69305191051362
