"year","region","rate","rate.lb","rate.ub"
2030,"EU",0.47,0.47,0.47
2040,"EU",0.4,0.4,0.4
2050,"EU",0.4,0.4,0.4
2075,"EU",0.3,0.3,0.3
2100,"EU",0.25,0.25,0.25
2030,"US",1.17,1.17,1.17
2040,"US",1.07,1.07,1.07
2050,"US",1.03,1.03,1.03
2075,"US",0.91,0.91,0.91
2100,"US",0.63,0.63,0.63
2030,"OT",0.47,0.47,0.47
2040,"OT",0.31,0.31,0.31
2050,"OT",0.24,0.24,0.24
2075,"OT",0.05,0.05,0.05
2100,"OT",-0.09,-0.09,-0.09
2030,"EE",-0.25,-0.25,-0.25
2040,"EE",-0.34,-0.34,-0.34
2050,"EE",-0.47,-0.47,-0.47
2075,"EE",-0.73,-0.73,-0.73
2100,"EE",-0.85,-0.85,-0.85
2030,"CA",-0.1,-0.1,-0.1
2040,"CA",-0.39,-0.39,-0.39
2050,"CA",-0.71,-0.71,-0.71
2075,"CA",-1.14,-1.14,-1.14
2100,"CA",-1.48,-1.48,-1.48
2030,"IA",0.63,0.63,0.63
2040,"IA",0.36,0.36,0.36
2050,"IA",0.08,0.08,0.08
2075,"IA",-0.37,-0.37,-0.37
2100,"IA",-0.84,-0.84,-0.84
2030,"AF",1.48,1.48,1.48
2040,"AF",1.28,1.28,1.28
2050,"AF",1.01,1.01,1.01
2075,"AF",0.61,0.61,0.61
2100,"AF",0.1,0.1,0.1
2030,"LA",0.52,0.52,0.52
2040,"LA",0.29,0.29,0.29
2050,"LA",0,0,0
2075,"LA",-0.32,-0.32,-0.32
2100,"LA",-0.69,-0.69,-0.69
2101,"EU",0.245904089145222,0.241723718552511,0.249151998614526
2101,"US",0.622949109678016,0.616498305453018,0.628283893810949
2101,"OT",-0.0914519818578047,-0.0939277839606006,-0.0896431006302933
2101,"EE",-0.845542022923393,-0.848935011756831,-0.840838152034945
2101,"CA",-1.47064297801724,-1.47764409956539,-1.46177694821134
2101,"IA",-0.835619785540951,-0.838966023005151,-0.830983743966517
2101,"AF",0.0970705284085924,0.0937954417588807,0.0995334160620299
2101,"LA",-0.686786224804322,-0.689457212805839,-0.683077968036905
2102,"EU",0.241854554423442,0.233629676485045,0.248306494615213
2102,"US",0.615971574677813,0.603235139808251,0.626572372198045
2102,"OT",-0.092881726856784,-0.0977934873354638,-0.089287615158171
2102,"EE",-0.841115767365526,-0.847872448307906,-0.831780841879238
2102,"CA",-1.4613624062083,-1.47529205064172,-1.44379830567241
2102,"IA",-0.831270582621989,-0.837933800150229,-0.822067503896712
2102,"AF",0.0941767832704013,0.0876871496008132,0.0990686120060791
2102,"LA",-0.683592811468948,-0.688916870580992,-0.676227414225044
2103,"EU",0.23785086719378,0.225660495626645,0.247463481143436
2103,"US",0.609066589646577,0.590206795795537,0.624865423090664
2103,"OT",-0.0942895160534583,-0.101614328191755,-0.0889335379883341
2103,"EE",-0.836720960959051,-0.846812302603409,-0.822826802404607
2103,"CA",-1.45215755344658,-1.47294384678426,-1.42606213671465
2103,"IA",-0.826952126157661,-0.836902687491989,-0.813250129840517
2103,"AF",0.0913183451729398,0.0816699420667776,0.0986058107611152
2103,"LA",-0.680419604136821,-0.688378959118183,-0.669447571379684
2104,"EU",0.233892505123084,0.217794994412705,0.24662295135865
2104,"US",0.60223335864407,0.577363145227201,0.623163034449608
2104,"OT",-0.0956756269746401,-0.105368475914426,-0.0885808635476004
2104,"EE",-0.832357334016612,-0.845754567615212,-0.813974782744638
2104,"CA",-1.44302769643298,-1.47059948155925,-1.40856492250828
2104,"IA",-0.822664153660797,-0.835872897277631,-0.804530485559382
2104,"AF",0.0884947997858529,0.0757726441590403,0.0981449270073537
2104,"LA",-0.677266448323565,-0.687843464293583,-0.662737680954082
2105,"EU",0.229978952106904,0.210135179753645,0.24578489843834
2105,"US",0.595471095026185,0.564723963348113,0.621465194267023
2105,"OT",-0.0970403336629798,-0.109040296249628,-0.0882295862848171
2105,"EE",-0.828024619501543,-0.844699236336805,-0.805223548075747
2105,"CA",-1.43397211960456,-1.46825894854393,-1.39130313860219
2105,"IA",-0.818406405214193,-0.834847877366384,-0.795907448357071
2105,"AF",0.085705737796661,0.0699670409916435,0.0976857979363279
2105,"LA",-0.674133190903951,-0.687310372066327,-0.656096992936829
2106,"EU",0.226109698191497,0.202651571577636,0.244949315577975
2106,"US",0.588779021330003,0.552277037418819,0.619771890566318
2106,"OT",-0.0983839067219024,-0.112635077472658,-0.0878797006707741
2106,"EE",-0.823722552998914,-0.843646301783233,-0.79656714300493
2106,"CA",-1.42499011504433,-1.46592224132648,-1.37427333072435
2106,"IA",-0.814178623442637,-0.833829002138101,-0.787379908912606
2106,"AF",0.0829507548473504,0.0641489743327594,0.0972252158592057
2106,"LA",-0.67101968009849,-0.686779668478021,-0.649524765750496
2107,"EU",0.222284239496859,0.195278210652271,0.244116195990965
2107,"US",0.582156369160348,0.540003918910281,0.618083111402088
2107,"OT",-0.0997066133599464,-0.116168143848247,-0.0875312011981168
2107,"EE",-0.819450872686924,-0.842595756991025,-0.788005117375078
2107,"CA",-1.41608098239218,-1.46358935350603,-1.35747217834415
2107,"IA",-0.809980553485253,-0.832811140882993,-0.778946771115338
2107,"AF",0.0802294514717981,0.0584476189663069,0.096769125789475
2107,"LA",-0.667925765460192,-0.686251339652259,-0.64302026615154
2108,"EU",0.218502078140756,0.187952878532092,0.243285532908609
2108,"US",0.575602379077818,0.527918401384913,0.616398840205177
2108,"OT",-0.10100871743451,-0.11963327165633,-0.0871840823812606
2108,"EE",-0.815209319308633,-0.841547595018129,-0.779538218527641
2108,"CA",-1.40724402875692,-1.46126027869261,-1.34089641030236
2108,"IA",-0.805811942968184,-0.83179357603105,-0.770606951902112
2108,"AF",0.0775414330340212,0.0528993078461704,0.0963148392156128
2108,"LA",-0.664851297861449,-0.685725371794141,-0.636582769131469
2109,"EU",0.214762722163755,0.180742663897575,0.242456813141059
2109,"US",0.569116300488261,0.516025458192386,0.614718901186311
2109,"OT",-0.102290479495014,-0.123031873745234,-0.0868383387563043
2109,"EE",-0.810997636144027,-0.840501808943844,-0.771165350918147
2109,"CA",-1.39847856862939,-1.45893501050716,-1.32454280406138
2109,"IA",-0.801672541977592,-0.83077826311204,-0.762359381096505
2109,"AF",0.0748863096672391,0.0474324575962446,0.0958623495764247
2109,"LA",-0.661796129481077,-0.685201751189795,-0.630211557819249
2110,"EU",0.211065685455234,0.173648180474712,0.241628729067699
2110,"US",0.562697391533694,0.504316291661562,0.613043413292439
2110,"OT",-0.103552156825494,-0.126453496381625,-0.0864939648809447
2110,"EE",-0.806815568982414,-0.839458391868758,-0.76288543208604
2110,"CA",-1.3897839237967,-1.45661354258152,-1.30840818496696
2110,"IA",-0.79756210303298,-0.829765087072891,-0.754203001250105
2110,"AF",0.0722636962137363,0.0420923341266761,0.0954116503334386
2110,"LA",-0.658760113791483,-0.684680464205902,-0.623905923384926
2111,"EU",0.207410487680358,0.16666782914504,0.240802638841224
2111,"US",0.556344918984625,0.492696189745308,0.611372364880854
2111,"OT",-0.104794003486617,-0.129810915881638,-0.0861509553343914
2111,"EE",-0.802662866095151,-0.838417336914674,-0.754697392492977
2111,"CA",-1.38115942325749,-1.45429586855836,-1.29248942552131
2111,"IA",-0.793480381060828,-0.828754179021262,-0.746136767485799
2111,"AF",0.0696732121655163,0.0366884207319688,0.0949627349708279
2111,"LA",-0.655743105545986,-0.684161497289216,-0.617665164944459
2112,"EU",0.203796654208013,0.159800941956244,0.239978538202204
2112,"US",0.550058158133783,0.48111553577409,0.609705744339021
2112,"OT",-0.10601627035715,-0.133171847979637,-0.085809304717282
2112,"EE",-0.79853927820869,-0.837378637224552,-0.746600175363192
2112,"CA",-1.37260440313826,-1.45198198209123,-1.27678344466739
2112,"IA",-0.789427133368538,-0.827745532393335,-0.738159647343066
2112,"AF",0.0671144816057353,0.0315884415198922,0.0945155969953363
2112,"LA",-0.65274496076626,-0.683644836966103,-0.611488589465737
2113,"EU",0.20022371603967,0.15305315735895,0.239156422899821
2113,"US",0.543836392691208,0.470003517571659,0.6080435400845
2113,"OT",-0.107219205174864,-0.136515535733385,-0.0854690076515972
2113,"EE",-0.794444558477941,-0.836342285962437,-0.738592736525888
2113,"CA",-1.36411820661075,-1.44967187684445,-1.26128720708412
2113,"IA",-0.78540211961869,-0.826739140645466,-0.730270620625215
2113,"AF",0.0645871331509046,0.0263255649096579,0.0940702299362015
2113,"LA",-0.649765536729925,-0.683130469842065,-0.60537551167578
2114,"EU",0.19669120973919,0.146465140484285,0.238336288691848
2114,"US",0.537678914680712,0.459167527714939,0.606385740564874
2114,"OT",-0.108403052576909,-0.139793004094875,-0.0851300587805766
2114,"EE",-0.790378462459954,-0.835308276313398,-0.730674044259636
2114,"CA",-1.35570018381037,-1.44736554649321,-1.24599772249246
2114,"IA",-0.781405101803598,-0.825734997254122,-0.722468679248576
2114,"AF",0.0620907998938523,0.0213134578053635,0.0936266273450802
2114,"LA",-0.64680469195826,-0.682618033315693,-0.59932525396909
2115,"EU",0.193198677363538,0.139878789622599,0.237518131344631
2115,"US",0.531585024337674,0.448427217652999,0.604732334257663
2115,"OT",-0.109568054139636,-0.14302697389016,-0.0847924527686351
2115,"EE",-0.786340748087909,-0.834276601483459,-0.722843079138752
2115,"CA",-1.34734969175556,-1.44506298472345,-1.23091204497212
2115,"IA",-0.777435844220168,-0.824732799405835,-0.714752827093595
2115,"AF",0.0596251193474319,0.0163905220280986,0.0931847827959727
2115,"LA",-0.643862286204062,-0.682107791330612,-0.593337146317148
2116,"EU",0.189745666394399,0.133447395776611,0.236701946633078
2116,"US",0.525554030008153,0.437809140296167,0.603083309670253
2116,"OT",-0.110714448417906,-0.146218091676573,-0.0844324293927169
2116,"EE",-0.782331175645412,-0.833247254699537,-0.715098833881632
2116,"CA",-1.33906609426821,-1.44276418523188,-1.2160272722888
2116,"IA",-0.77349411344505,-0.823729032066298,-0.707122079857819
2116,"AF",0.0571897333889706,0.0117617096005847,0.0927446898851478
2116,"LA",-0.640938180439621,-0.681599752036821,-0.587410526179042
2117,"EU",0.186331729670688,0.127120979454521,0.235887730340635
2117,"US",0.519585248049305,0.427264812166531,0.60143865533982
2117,"OT",-0.111842470983864,-0.149268535317233,-0.0840806444144159
2117,"EE",-0.778349507741097,-0.832220229209375,-0.707440313201013
2117,"CA",-1.33084876189512,-1.44046914172596,-1.20129522253584
2117,"IA",-0.769579678310081,-0.822726998647202,-0.699575464910748
2117,"AF",0.0547842882054449,0.00703152615376226,0.0923063422310686
2117,"LA",-0.638032236844837,-0.681093902728235,-0.581544738413207
2118,"EU",0.182956425321936,0.120898083277384,0.235075478259274
2118,"US",0.513678002731094,0.416785496685109,0.599798359833246
2118,"OT",-0.112952354465206,-0.152124129809283,-0.0837437776532622
2118,"EE",-0.774395509283522,-0.831195518281476,-0.699866533656136
2118,"CA",-1.32269707183028,-1.43817784792389,-1.18669657559989
2118,"IA",-0.765692309878018,-0.821726695337801,-0.692112021150521
2118,"AF",0.0524084342393735,0.00244766666962202,0.0918697334743176
2118,"LA",-0.635144318795455,-0.680590230773183,-0.575739135190263
2119,"EU",0.179619316702544,0.114785576138704,0.234265186189476
2119,"US",0.507831626139257,0.406385412463947,0.598162411747053
2119,"OT",-0.114044328582937,-0.155096568325526,-0.083408154160891
2119,"EE",-0.770468947456363,-0.830173115205043,-0.692376523506794
2119,"CA",-1.31461040783828,-1.43589029755459,-1.17228137550585
2119,"IA",-0.761831781418555,-0.82072811833665,-0.684730798862418
2119,"AF",0.0500618261354201,-0.00234365869271735,0.0914348572775228
2119,"LA",-0.632274290851431,-0.680088723613964,-0.56999307590694
2120,"EU",0.176319972326893,0.108898411479746,0.233458095191052
2120,"US",0.502045458079531,0.396278024793198,0.596530799707317
2120,"OT",-0.115118620188625,-0.158109910973709,-0.0830738842041788
2120,"EE",-0.766569591693902,-0.829154615071342,-0.684969322569223
2120,"CA",-1.30658816017854,-1.43360648435766,-1.15804724958245
2120,"IA",-0.757997868384622,-0.819731263851585,-0.677430859579154
2120,"AF",0.0477441226876937,-0.00696522794856298,0.0910017073252834
2120,"LA",-0.629422018745423,-0.679589368766416,-0.564305927101074
2121,"EU",0.173057965805297,0.103176623330181,0.232658062369151
2121,"US",0.496318845983111,0.386629827540336,0.5949035123696
2121,"OT",-0.116175453301169,-0.160956766638604,-0.0827418319748351
2121,"EE",-0.762697213656797,-0.828152722769829,-0.677643982073835
2121,"CA",-1.29862972553054,-1.43132640208337,-1.14399185657626
2121,"IA",-0.75419034838896,-0.818754056878052,-0.670211275942948
2121,"AF",0.0454549867877384,-0.0113946259133783,0.0905727879062079
2121,"LA",-0.626587369371402,-0.679092153819487,-0.558677062367655
2122,"EU",0.169832875780784,0.0977187020578458,0.231860550516526
2122,"US",0.490651144813322,0.377153083628255,0.593280538418867
2122,"OT",-0.117215049143066,-0.163738575593084,-0.0824110982611917
2122,"EE",-0.758851587208141,-0.827154558995324,-0.670399564524749
2122,"CA",-1.29073450691998,-1.42905004449266,-1.13011288622803
2122,"IA",-0.750409001180969,-0.817783054127798,-0.663071131569323
2122,"AF",0.0431940853732033,-0.0157453641748549,0.090145789312244
2122,"LA",-0.623770210773389,-0.678597066434803,-0.553105862275926
2123,"EU",0.166644285866706,0.0916962088341641,0.231065537057522
2123,"US",0.4850417169735,0.367618101974254,0.591661866569416
2123,"OT",-0.118237626176214,-0.166550406344791,-0.0820816778684449
2123,"EE",-0.7550324883898,-0.826160108191295,-0.66323514356111
2123,"CA",-1.2829019136458,-1.4267774053571,-1.11640805885473
2123,"IA",-0.746653608623832,-0.816799483783447,-0.656009520912643
2123,"AF",0.0409610893771829,-0.0200286360604421,0.0897120456335894
2123,"LA",-0.620970412134308,-0.678104094346243,-0.547591714287499
2124,"EU",0.163491784585152,0.0861902067322712,0.230272742984982
2124,"US",0.479489932216049,0.358222945317203,0.5900474855648
2124,"OT",-0.11924340013723,-0.169223552544055,-0.0817535656220659
2124,"EE",-0.751239695399025,-0.825167397136031,-0.656149803820159
2124,"CA",-1.27513136120814,-1.4245084784589,-1.10287512493737
2124,"IA",-0.742923954671896,-0.815818145777943,-0.649025549133339
