"year","region","rate","rate.lb","rate.ub"
2030,"EU",1.44,1.44,1.44
2040,"EU",1.65,1.65,1.65
2050,"EU",1.66,1.66,1.66
2075,"EU",1.71,1.71,1.71
2100,"EU",1.69,1.69,1.69
2030,"US",1.4,1.4,1.4
2040,"US",1.13,1.13,1.13
2050,"US",1.09,1.09,1.09
2075,"US",1.17,1.17,1.17
2100,"US",1.38,1.38,1.38
2030,"OT",1.73,1.73,1.73
2040,"OT",1.64,1.64,1.64
2050,"OT",1.64,1.64,1.64
2075,"OT",1.69,1.69,1.69
2100,"OT",1.67,1.67,1.67
2030,"EE",4.1,4.1,4.1
2040,"EE",3.28,3.28,3.28
2050,"EE",2.19,2.19,2.19
2075,"EE",1.85,1.85,1.85
2100,"EE",1.6,1.6,1.6
2030,"CA",6.46,6.46,6.46
2040,"CA",4.29,4.29,4.29
2050,"CA",2.97,2.97,2.97
2075,"CA",1.74,1.74,1.74
2100,"CA",1.36,1.36,1.36
2030,"IA",5.61,5.61,5.61
2040,"IA",5.11,5.11,5.11
2050,"IA",4.33,4.33,4.33
2075,"IA",3.18,3.18,3.18
2100,"IA",2.25,2.25,2.25
2030,"AF",3.32,3.32,3.32
2040,"AF",3.85,3.85,3.85
2050,"AF",4.09,4.09,4.09
2075,"AF",3.98,3.98,3.98
2100,"AF",3.11,3.11,3.11
2030,"LA",3.1,3.1,3.1
2040,"LA",3.18,3.18,3.18
2050,"LA",3.08,3.08,3.08
2075,"LA",2.68,2.68,2.68
2100,"LA",2.19,2.19,2.19
2101,"EU",1.6824053924405,1.67818482708153,1.68685826986145
2101,"US",1.37616741221839,1.37196660855433,1.38039785213373
2101,"OT",1.66264810339391,1.6584438673676,1.66703843362701
2101,"EE",1.59349759173085,1.58931719914657,1.59777504861212
2101,"CA",1.35641012317181,1.35216758079738,1.36063095275731
2101,"IA",2.23560948574495,2.23041084871859,2.24110548969955
2101,"AF",3.08517291474821,3.07733579275786,3.09325231867762
2101,"LA",2.17633761860518,2.17131682434227,2.18173565516541
2102,"EU",1.67482756890404,1.66644106383388,1.68368121481802
2102,"US",1.37230456197572,1.3639680212599,1.38074942729866
2102,"OT",1.65530995555382,1.64696551323941,1.66406523844022
2102,"EE",1.58699830882807,1.57870072839804,1.5955193354426
2102,"CA",1.3527869486255,1.34437524708927,1.36115650841828
2102,"IA",2.22132074271004,2.21099829244112,2.23226920739443
2102,"AF",3.06057811676924,3.04505689040008,3.07662611242098
2102,"LA",2.16276790265939,2.15279818954517,2.1735090677699
2103,"EU",1.66726680588924,1.65476844754752,1.68046925438418
2103,"US",1.36841233038743,1.35600425597789,1.38102437504357
2103,"OT",1.64798587198589,1.63556443724975,1.66108063952576
2103,"EE",1.5805026033242,1.56812713900758,1.5932288603037
2103,"CA",1.34913139648409,1.33662332739464,1.36165459032816
2103,"IA",2.20713295518281,2.19176065638459,2.22346313273628
2103,"AF",3.03621311302652,3.01315824693656,3.06012022255746
2103,"LA",2.14929015347279,2.1344425711922,2.16531999852621
2104,"EU",1.65972337304674,1.6431667135264,1.67722327928277
2104,"US",1.36449158375363,1.34807532738323,1.38116628314842
2104,"OT",1.64067616083429,1.62424014199769,1.65808485957425
2104,"EE",1.57401091809068,1.55758840893919,1.59091290620334
2104,"CA",1.34544437154117,1.32891150380515,1.36210016810549
2104,"IA",2.19304531499559,2.17269628274417,2.2146952795099
2104,"AF",3.01207544013133,2.98163488775128,3.04373305729526
2104,"LA",2.13590367835822,2.11624846005684,2.15716821022433
2105,"EU",1.65219753329311,1.63163559515786,1.67394404807374
2105,"US",1.36054317378035,1.34018124702193,1.38121024444434
2105,"OT",1.63338112300196,1.61298473659859,1.6550781189034
2105,"EE",1.56752368698295,1.5470932721331,1.58858885464719
2105,"CA",1.34172676348921,1.32123961996473,1.3624306236532
2105,"IA",2.17905702144519,2.15380353050736,2.20596596902646
2105,"AF",2.98816266396445,2.95048190854247,3.02746387094762
2105,"LA",2.12260779057175,2.09821436193676,2.14905346771011
2106,"EU",1.64468954292291,1.62017565956644,1.67063230801732
2106,"US",1.35656793779769,1.33232202336753,1.38115726917993
2106,"OT",1.62610105226967,1.60174323731199,1.65206063548041
2106,"EE",1.56104133498333,1.53664200350206,1.58622929799017
2106,"CA",1.33797944714445,1.31359424117067,1.36278635029645
2106,"IA",2.16516728121362,2.13508077527026,2.19727499822126
2106,"AF",2.96447237930293,2.91969447427878,3.01131163744003
2106,"LA",2.1094018092539,2.08033879749014,2.14097553786405
2107,"EU",1.63719965171919,1.60878635081849,1.66733257984622
2107,"US",1.35256669897476,1.32449766187679,1.38100999237713
2107,"OT",1.6188362354131,1.59055343654639,1.64903262494418
2107,"EE",1.55456427834178,1.52624978447229,1.58383987007537
2107,"CA",1.33420328266867,1.30597351783421,1.36296375995854
2107,"IA",2.15137530828976,2.11652640905606,2.18862216537901
2107,"AF",2.94100220945171,2.88926781817158,2.9952753403923
2107,"LA",2.09628505937148,2.06262030207391,2.13293418958034
2108,"EU",1.62972810306226,1.59746717040191,1.66402505224248
2108,"US",1.34854026653156,1.316576802757,1.3808122336473
2108,"OT",1.61158695231834,1.5794371491195,1.64594176734003
2108,"EE",1.54809292471464,1.51595925581112,1.58137946542758
2108,"CA",1.33039911578764,1.29838577150228,1.36298990910794
2108,"IA",2.13768032389191,2.09813884013568,2.18000727012261
2108,"AF",2.91774980588031,2.85919724066276,2.97934346276794
2108,"LA",2.08325687166016,2.04505742558384,2.12492919374615
2109,"EU",1.62227513403681,1.58621783308877,1.66064609405437
2109,"US",1.34448943594771,1.30864295692778,1.38072342015347
2109,"OT",1.60435347609558,1.56841839828075,1.64277574986091
2109,"EE",1.54162767330127,1.50573590847907,1.57886283724414
2109,"CA",1.32656777800648,1.29083069173617,1.36292186005312
2109,"IA",2.12408155639131,2.0799164928505,2.171430113402
2109,"AF",2.8947128478643,2.82947810842813,2.96346913455337
2109,"LA",2.07031658256762,2.02764873229671,2.1169603232211
2110,"EU",1.61484097553745,1.57503805234218,1.65723855222376
2110,"US",1.34041498916831,1.30071190032835,1.38059380245693
2110,"OT",1.59713607319106,1.5574658977744,1.63957663279694
2110,"EE",1.53516891497867,1.49560859538085,1.57641372836288
2110,"CA",1.32271008682192,1.2833082992126,1.36275919640145
2110,"IA",2.11057824123654,2.06185780743717,2.16289049748322
2110,"AF",2.87188904213158,2.80010585339592,2.94769410418887
2110,"LA",2.05746353419736,2.0103928007142,2.109027352817
2111,"EU",1.60742585237261,1.5639275403733,1.65380420353238
2111,"US",1.33631769480667,1.29278477942779,1.38042284252071
2111,"OT",1.58993500349739,1.54657940979806,1.63634545406345
2111,"EE",1.52871703243411,1.48554890725325,1.5739457406555
2111,"CA",1.31882684593145,1.27581861154571,1.36255592953202
2111,"IA",2.09716962087883,2.04396164838795,2.15438822593746
2111,"AF",2.84927612251338,2.77107597178026,2.93201766069722
2111,"LA",2.04469707425316,1.99328827034798,2.10112989385763
2112,"EU",1.60002998336689,1.55288600819721,1.65034367204227
2112,"US",1.33219830834418,1.28486271066083,1.3802121525706
2112,"OT",1.5827505204622,1.53575869458262,1.63308293778823
2112,"EE",1.52227240029578,1.47555639747796,1.57145919799646
2112,"CA",1.31491884543949,1.26836164334182,1.36240847138188
