"R_PAGE","GHG_PAGE","ValRelPct.2010","ValRelPct.2020","ValRelPct.2030","ValRelPct.2040","ValRelPct.2050","ValRelPct.2060","ValRelPct.2070","ValRelPct.2080","ValRelPct.2090","ValRelPct.2100"
"AF","CH4",92.2816059325356,100,70.7791871208379,65.9737633209457,59.8811595117893,54.293158649985,50.6240869900112,47.523321987574,44.7195483210407,41.4697440725227
"CA","CH4",104.90672729116,100,60.5362131146604,49.9542279622121,41.5079091144265,36.0512168223483,30.8648684753206,26.2611385656421,22.2586906361164,18.9642953205283
"EE","CH4",102.878021713178,100,51.3132908095099,41.2760633029087,34.4280311131093,30.9934941697313,27.2054332265016,22.0247392972499,17.7276651199707,13.4308778180434
"EU","CH4",123.735700736196,100,66.7534995487681,58.0284866226043,49.6372020227375,46.8723659801134,44.4003997393933,41.8597040135505,39.168129838298,36.6613042981984
"IA","CH4",104.90672729116,100,60.5362131146604,49.9542279622121,41.5079091144265,36.0512168223483,30.8648684753206,26.2611385656421,22.2586906361164,18.9642953205283
"LA","CH4",105.637500840028,100,72.6778571561882,59.1246239236448,49.2936572522869,43.7386667309886,39.4060153196695,35.1626461853683,31.4604880924566,28.3363027666105
"OT","CH4",123.735700736196,100,66.7534995487681,58.0284866226043,49.6372020227375,46.8723659801134,44.4003997393933,41.8597040135505,39.168129838298,36.6613042981984
"US","CH4",123.735700736196,100,66.7534995487681,58.0284866226043,49.6372020227375,46.8723659801134,44.4003997393933,41.8597040135505,39.168129838298,36.6613042981984
"AF","CO2",97.638687380014,100,41.6818423200435,26.9842921352447,9.37088234476495,-5.31910636634967,-12.0910548127805,-20.7277093140308,-32.5734492455176,-45.0675119351009
"CA","CO2",88.774641084603,100,59.123955612019,34.0619014414474,12.3543086413269,-1.53810523746403,-9.31884847843775,-15.7052836019776,-19.5974084452901,-23.2362708207238
"EE","CO2",102.240399043767,100,40.2691498690571,16.4389940745021,-0.748792824275712,-16.2145281935953,-20.2630470586894,-25.9276441744082,-34.3971848533231,-38.293724450297
"EU","CO2",111.436145432581,100,55.9040373814344,30.7990525023207,8.06751684058134,-4.88885500788503,-13.181469701355,-20.4872580549733,-26.7377134701883,-31.2480249173921
"IA","CO2",88.774641084603,100,59.123955612019,34.0619014414474,12.3543086413269,-1.53810523746403,-9.31884847843775,-15.7052836019776,-19.5974084452901,-23.2362708207238
"LA","CO2",124.538733583848,100,31.550291429228,-6.07398678900942,-30.3444614498641,-52.7491321280291,-66.7755725351109,-81.0663675130657,-91.4474257760777,-97.1853663819003
"OT","CO2",111.436145432581,100,55.9040373814344,30.7990525023207,8.06751684058134,-4.88885500788503,-13.181469701355,-20.4872580549733,-26.7377134701883,-31.2480249173921
"US","CO2",111.436145432581,100,55.9040373814344,30.7990525023207,8.06751684058134,-4.88885500788503,-13.181469701355,-20.4872580549733,-26.7377134701883,-31.2480249173921
"AF","Excess",110.878780522854,100,83.2762959960114,72.8470917383296,65.4469529657722,62.8779146478133,59.7861659020867,55.4460457924815,51.3112326075292,47.2193545596788
"CA","Excess",124.963011753578,100,67.5530602826478,50.7432389594832,37.8146710173244,31.6997369116619,27.789546816339,24.5044772958127,21.6020506865156,19.4032087408933
"EE","Excess",118.467897317327,100,77.0322034696762,66.1192306143902,57.5265635088834,52.8824263275702,48.9216450188794,46.1799539866423,43.4142845686053,40.5098180801108
"EU","Excess",136.672766781063,100,71.1783913923566,62.4324476628725,53.0732220136453,48.8242701034227,44.9787141200093,42.2360521482781,39.5605474242353,37.5382441002751
"IA","Excess",124.963011753578,100,67.5530602826478,50.7432389594832,37.8146710173244,31.6997369116619,27.789546816339,24.5044772958127,21.6020506865156,19.4032087408933
"LA","Excess",124.202999280531,100,73.4967639496383,66.8844390064073,56.5271421488223,52.4873925352591,49.693642035097,46.5557919640555,43.4763050701013,41.2739483042814
"OT","Excess",136.672766781063,100,71.1783913923566,62.4324476628725,53.0732220136453,48.8242701034227,44.9787141200093,42.2360521482781,39.5605474242353,37.5382441002751
"US","Excess",136.672766781063,100,71.1783913923566,62.4324476628725,53.0732220136453,48.8242701034227,44.9787141200093,42.2360521482781,39.5605474242353,37.5382441002751
"AF","Lin",46.3805198636546,100,80.5079295577599,47.7055738418729,45.4284122812954,51.4117493421811,60.9850462340233,77.7697510880619,94.7776453576844,97.1857445210537
"CA","Lin",43.05737977312,100,77.7311454393708,50.1450624162835,48.0802378642321,41.5139296452077,36.7121718018573,35.5585546840199,34.027936230768,32.3068072511518
"EE","Lin",67.739623916279,100,62.4463556988412,37.1545569176888,30.3493901693013,24.5173070115538,19.1705921125285,18.2025514134127,17.1205882187762,16.1085971948471
"EU","Lin",94.0456306364025,100,55.4360298313536,29.3475302223729,23.316515794384,19.821294032985,17.5336896812117,17.0149674236394,16.6306565643659,16.4366712291852
"IA","Lin",43.05737977312,100,77.7311454393708,50.1450624162835,48.0802378642321,41.5139296452077,36.7121718018573,35.5585546840199,34.027936230768,32.3068072511518
"LA","Lin",65.7676186656963,100,79.755835383893,51.1074679612242,48.0117831608303,47.82730887126,45.9118340926892,46.9423775259019,44.7765140674261,42.4100168557408
"OT","Lin",94.0456306364025,100,55.4360298313536,29.3475302223729,23.316515794384,19.821294032985,17.5336896812117,17.0149674236394,16.6306565643659,16.4366712291852
"US","Lin",94.0456306364025,100,55.4360298313536,29.3475302223729,23.316515794384,19.821294032985,17.5336896812117,17.0149674236394,16.6306565643659,16.4366712291852
"AF","N2O",95.2756653441772,100,85.4156024068835,89.2601854823733,92.8896169262398,88.5049248643551,88.4476385828188,88.6048440003989,88.0060227769969,84.7352364732095
"CA","N2O",97.5908499870822,100,80.203433403613,76.6633378176507,70.9409543627934,64.6373511450268,57.0998998070129,52.507980963816,47.8569883665833,44.0990796349003
"EE","N2O",99.1185191499586,100,69.876664104034,67.2668598213765,61.9942594852313,60.7553266852942,58.5816187025393,55.859675368596,51.7732805029515,46.7469057622561
"EU","N2O",111.288076387984,100,79.2612197605867,73.7567791231965,70.5919822698709,67.5161943031577,64.2141758428919,61.4328154390968,57.9370469627872,54.4293789795625
"IA","N2O",97.5908499870822,100,80.203433403613,76.6633378176507,70.9409543627934,64.6373511450268,57.0998998070129,52.507980963816,47.8569883665833,44.0990796349003
"LA","N2O",98.1110597300508,100,83.6630563979496,75.9772822509603,69.2699059166218,67.1199133624807,64.7456731984911,62.6296255595381,59.6863176423577,56.8619794139774
"OT","N2O",111.288076387984,100,79.2612197605867,73.7567791231965,70.5919822698709,67.5161943031577,64.2141758428919,61.4328154390968,57.9370469627872,54.4293789795625
"US","N2O",111.288076387984,100,79.2612197605867,73.7567791231965,70.5919822698709,67.5161943031577,64.2141758428919,61.4328154390968,57.9370469627872,54.4293789795625
"AF","Sulphates",131.940249312387,100,58.812241281834,44.8611817678281,38.7315016471216,35.786518850968,33.2551614127355,30.2961822912801,27.0961797573541,23.8505278805583
"CA","Sulphates",121.064333812634,100,47.0214854220422,26.4226694336363,16.4568344919892,12.5078072027694,10.2222825884045,8.27152052593704,6.67604013700363,5.54496737746429
"EE","Sulphates",137.068795648486,100,55.9458048684247,38.4288098208794,26.282815805763,20.8516152955578,17.439135815839,14.9653529898262,13.6142840121336,11.713891321388
"EU","Sulphates",174.053016774273,100,49.2951327960471,34.343391854433,26.4858595936384,22.1483509748429,19.1506183855807,16.9880362298472,15.4346818796095,14.2799567386279
"IA","Sulphates",121.064333812634,100,47.0214854220422,26.4226694336363,16.4568344919892,12.5078072027694,10.2222825884045,8.27152052593704,6.67604013700363,5.54496737746429
"LA","Sulphates",148.061163910432,100,59.1163367058274,47.6376384983897,39.4050814554938,34.3784694395931,30.9903524316649,27.9540021478708,25.6171816252028,24.0131240059602
"OT","Sulphates",174.053016774273,100,49.2951327960471,34.343391854433,26.4858595936384,22.1483509748429,19.1506183855807,16.9880362298472,15.4346818796095,14.2799567386279
"US","Sulphates",174.053016774273,100,49.2951327960471,34.343391854433,26.4858595936384,22.1483509748429,19.1506183855807,16.9880362298472,15.4346818796095,14.2799567386279
