"ISO","intercept","slope"
"AFG",-9.52084842688037,1.37835137900206
"AGO",7.99812833903898,0.934546253550509
"ALB",-5.43963400630487,1.20651832401523
"ARE",10.6561908963344,1.11499587965784
"ARG",6.33046304808662,0.724129529310011
"ARM",-12.2111099797961,1.33541741796334
"ATA",-273.150000000176,1.05377970824259e-11
"ATF",-273.150000000176,1.05377970824259e-11
"AUS",4.88995901853699,0.791165914244853
"AUT",-10.6886708136975,1.21873995382044
"AZE",-4.43830386693754,1.16616961563334
"BDI",6.20394895547451,0.922393559064879
"BEL",-5.32163313852141,1.0219422976879
"BEN",14.6280468248768,0.820698514407881
"BFA",14.60107142592,0.898750669873915
"BGD",12.871795972869,0.832764271148158
"BGR",-8.05166201673985,1.23753864314179
"BHS",13.2757587808263,0.729945289997717
"BIH",-9.01092175966942,1.24759694550069
"BLR",-14.47014888863,1.36991447056551
"BLZ",11.4580975527648,0.946554294162558
"BOL",-2.4817023243674,1.14616382089604
"BRA",9.14036779840408,0.914909824849064
"BRN",15.9223001901559,0.713459194809833
"BTN",-1.44714018742249,0.980976155291506
"BWA",2.7650089428711,1.19696450575725
"CAF",11.9135643252185,0.911909333717004
"CAN",-14.4929388229523,1.3828890100274
"CHE",-9.86268167888811,1.16403617422905
"CHL",-0.393259303658365,0.852807352769497
"CHN",-0.828947958513264,1.06272608360058
"CIV",13.1905789950776,0.856462333396257
"CMR",10.706448211623,0.909933744625477
"COD",9.35390776129271,0.951733047956787
"COG",11.6813832556433,0.861195924412921
"COL",6.06551035570324,0.917299146415609
"CRI",8.48991870917464,0.833488286842988
"CUB",13.37624553664,0.804071477417198
"CYN",5.88885746694175,0.944545638084529
"CYP",6.17949433544603,0.909116750907895
"CZE",-10.4663327677798,1.2202481240843
"DEU",-8.03596149862731,1.12885380389697
"DJI",14.7869776616676,0.861298002447379
"DNK",-7.94155539379539,1.0687151146061
"DOM",12.5787162362316,0.788172755674789
"DZA",0.00319876795160427,1.14401910654823
"ECU",5.97389513323752,0.836417495188177
"EGY",6.64894406862238,1.02514840709402
"ERI",9.84846970627729,0.888259293951983
"ESP",-1.94085874721361,1.1090032102913
"EST",-15.6325113788055,1.38051239679789
"ETH",6.960517999519,0.819273472518376
"FIN",-17.6679450931989,1.42339802817003
"FJI",15.3267646276088,0.606350395779112
"FLK",-0.179969122069367,0.449319211863844
"FRA",-4.87665277111906,1.07126046000278
"GAB",12.5261986858701,0.82315514586833
"GBR",-3.50081343136955,0.877883068877929
"GEO",-8.59342767856544,1.24615518541627
"GHA",14.058101111135,0.836400232159263
"GIN",11.0814865886918,0.961044683844459
"GMB",14.4696325707101,0.835793305589737
"GNB",14.6220750334558,0.86032161126852
"GNQ",11.8690110921683,0.825872888914534
"GRC",-1.64436050930968,1.14752158045332
"GRL",-21.190475225926,1.21302231593724
"GTM",4.56538611491682,1.03807935091178
"GUY",12.4641843332041,0.888751357532074
"HND",7.68589744126364,1.02403171096856
"HRV",-7.20631691654858,1.2416645498829
"HTI",13.2027956288193,0.781537019043362
"HUN",-8.46017183099635,1.24790771258837
"IDN",15.2042433721093,0.69718152863381
"IND",12.526854494269,0.849097766813335
"IRL",-1.40598789247247,0.734136950134514
"IRN",-3.72936835359027,1.26369542366691
"IRQ",4.15727406711965,1.29932744149121
"ISL",-12.3296915640165,1.06530830760585
"ISR",5.05739262008397,0.99558700097958
"ITA",-3.64575109287079,1.13918846827078
"JAM",14.4878874292363,0.733548472748959
"JOR",2.16183539201112,1.08246115573318
