"model","ISO","intercept","slope"
"BCC-CSM2-MR","AFG",-11.3174435386009,1.48703553715252
"BCC-CSM2-MR","AGO",6.88809002640556,1.00573688852563
"BCC-CSM2-MR","ALB",-9.3128813143394,1.43014594569799
"BCC-CSM2-MR","ARE",13.4275065811579,0.945918540401957
"BCC-CSM2-MR","ARG",2.15518668389258,0.990666001293813
"BCC-CSM2-MR","ARM",-14.7888869026267,1.49953535733866
"BCC-CSM2-MR","ATA",-273.150000000314,1.90900447756512e-11
"BCC-CSM2-MR","ATF",-273.150000000314,1.90900447756512e-11
"BCC-CSM2-MR","AUS",4.00148600032781,0.86112141117634
"BCC-CSM2-MR","AUT",-15.411573359523,1.49477554934785
"BCC-CSM2-MR","AZE",-7.41793129054891,1.35055935694278
"BCC-CSM2-MR","BDI",2.43974357831695,1.16632134310604
"BCC-CSM2-MR","BEL",-8.3533885214435,1.2046730660242
"BCC-CSM2-MR","BEN",12.4283908919369,0.961482992893229
"BCC-CSM2-MR","BFA",11.0104684432962,1.12454003975381
"BCC-CSM2-MR","BGD",11.3310649340269,0.927583293788152
"BCC-CSM2-MR","BGR",-13.0147634221927,1.53026206566057
"BCC-CSM2-MR","BHS",12.6750021130548,0.769354863183754
"BCC-CSM2-MR","BIH",-13.7959202624729,1.52833540323506
"BCC-CSM2-MR","BLR",-20.1264599350939,1.69591568069587
"BCC-CSM2-MR","BLZ",12.4601595317993,0.883934391241237
"BCC-CSM2-MR","BOL",-4.97615813252913,1.30972046887197
"BCC-CSM2-MR","BRA",6.91619749799401,1.06102302899786
"BCC-CSM2-MR","BRN",13.2283711919456,0.885733069592566
"BCC-CSM2-MR","BTN",-2.77562175378645,1.05809146445568
"BCC-CSM2-MR","BWA",2.281124273247,1.21805694313427
"BCC-CSM2-MR","CAF",9.07326613213752,1.08758461262212
"BCC-CSM2-MR","CAN",-20.2045767851079,1.72629081994988
"BCC-CSM2-MR","CHE",-14.045890991606,1.41309981607795
"BCC-CSM2-MR","CHL",-1.49755679632469,0.920626492175333
"BCC-CSM2-MR","CHN",-4.06974541976678,1.27357871845493
"BCC-CSM2-MR","CIV",11.7762511045641,0.9479591658509
"BCC-CSM2-MR","CMR",8.06334418556244,1.07649189744464
"BCC-CSM2-MR","COD",7.37933709867001,1.07618809152604
"BCC-CSM2-MR","COG",9.36734069666334,1.00914331628327
"BCC-CSM2-MR","COL",2.29999311575871,1.16293999706628
"BCC-CSM2-MR","CRI",8.75624107605617,0.821672960608504
"BCC-CSM2-MR","CUB",13.2109297413307,0.813288554030444
"BCC-CSM2-MR","CYN",3.72217339668527,1.07945967338881
"BCC-CSM2-MR","CYP",3.81376609869601,1.05661105446992
"BCC-CSM2-MR","CZE",-14.7902999086687,1.46831889355849
"BCC-CSM2-MR","DEU",-11.3718324325759,1.32318539574775
"BCC-CSM2-MR","DJI",12.1853885451424,1.03796870555712
"BCC-CSM2-MR","DNK",-10.1889823776243,1.20437839507825
"BCC-CSM2-MR","DOM",12.7731228690721,0.775178250377499
"BCC-CSM2-MR","DZA",-3.89023383256621,1.37482540046173
"BCC-CSM2-MR","ECU",3.43389858959874,1.00133780793514
"BCC-CSM2-MR","EGY",4.8073751917846,1.13599484888694
"BCC-CSM2-MR","ERI",5.6432800916983,1.15698584575328
"BCC-CSM2-MR","ESP",-4.75472582227041,1.2804542349495
