"period","model","scenario","gsat","period.base","scenario.base","gsat.base","warming"
"2081-2100","BCC-CSM2-MR","ssp126",16.4083466952213,"1995-2015","historical",15.5087141036295,1.7496325915918
"2081-2100","CanESM5","ssp126",16.6872568617865,"1995-2015","historical",15.0772061551407,2.4600507066458
"2081-2100","GFDL-ESM4","ssp126",16.0183100465213,"1995-2015","historical",15.2276132933493,1.640696753172
"2081-2100","MIROC-ES2L","ssp126",17.202454328466,"1995-2015","historical",16.2339365607492,1.8185177677168
"2081-2100","MIROC6","ssp126",17.3051208982947,"1995-2015","historical",16.4311354603905,1.7239854379042
"2081-2100","BCC-CSM2-MR","ssp370",18.5370011492139,"1995-2015","historical",15.5087141036295,3.8782870455844
"2081-2100","CanESM5","ssp370",19.6848691673527,"1995-2015","historical",15.0772061551407,5.457663012212
"2081-2100","GFDL-ESM4","ssp370",17.8072521126849,"1995-2015","historical",15.2276132933493,3.4296388193356
"2081-2100","MIROC-ES2L","ssp370",18.8172181157668,"1995-2015","historical",16.2339365607492,3.4332815550176
"2081-2100","MIROC6","ssp370",18.8091226958769,"1995-2015","historical",16.4311354603905,3.2279872354864
