"year","AF","CA","EE","EU","IA","LA","OT","US"
2010,97.638687380014,88.774641084603,102.240399043767,111.436145432581,88.774641084603,124.538733583848,111.436145432581,111.436145432581
2020,100,100,100,100,100,100,100,100
2030,41.6818423200435,59.123955612019,40.2691498690571,55.9040373814344,59.123955612019,31.550291429228,55.9040373814344,55.9040373814344
2040,26.9842921352447,34.0619014414474,16.4389940745021,30.7990525023207,34.0619014414474,-6.07398678900942,30.7990525023207,30.7990525023207
2050,9.37088234476495,12.3543086413269,-0.748792824275712,8.06751684058134,12.3543086413269,-30.3444614498641,8.06751684058134,8.06751684058134
2060,-5.31910636634967,-1.53810523746403,-16.2145281935953,-4.88885500788503,-1.53810523746403,-52.7491321280291,-4.88885500788503,-4.88885500788503
2070,-12.0910548127805,-9.31884847843775,-20.2630470586894,-13.181469701355,-9.31884847843775,-66.7755725351109,-13.181469701355,-13.181469701355
2080,-20.7277093140308,-15.7052836019776,-25.9276441744082,-20.4872580549733,-15.7052836019776,-81.0663675130657,-20.4872580549733,-20.4872580549733
2090,-32.5734492455176,-19.5974084452901,-34.3971848533231,-26.7377134701883,-19.5974084452901,-91.4474257760777,-26.7377134701883,-26.7377134701883
2100,-45.0675119351009,-23.2362708207238,-38.293724450297,-31.2480249173921,-23.2362708207238,-97.1853663819003,-31.2480249173921,-31.2480249173921
