"year","AF","CA","EE","EU","IA","LA","OT","US"
2010,92.2816059325356,104.90672729116,102.878021713178,123.735700736196,104.90672729116,105.637500840028,123.735700736196,123.735700736196
2020,100,100,100,100,100,100,100,100
2030,70.7791871208379,60.5362131146604,51.3132908095099,66.7534995487681,60.5362131146604,72.6778571561882,66.7534995487681,66.7534995487681
2040,65.9737633209457,49.9542279622121,41.2760633029087,58.0284866226043,49.9542279622121,59.1246239236448,58.0284866226043,58.0284866226043
2050,59.8811595117893,41.5079091144265,34.4280311131093,49.6372020227375,41.5079091144265,49.2936572522869,49.6372020227375,49.6372020227375
2060,54.293158649985,36.0512168223483,30.9934941697313,46.8723659801134,36.0512168223483,43.7386667309886,46.8723659801134,46.8723659801134
2070,50.6240869900112,30.8648684753206,27.2054332265016,44.4003997393933,30.8648684753206,39.4060153196695,44.4003997393933,44.4003997393933
2080,47.523321987574,26.2611385656421,22.0247392972499,41.8597040135505,26.2611385656421,35.1626461853683,41.8597040135505,41.8597040135505
2090,44.7195483210407,22.2586906361164,17.7276651199707,39.168129838298,22.2586906361164,31.4604880924566,39.168129838298,39.168129838298
2100,41.4697440725227,18.9642953205283,13.4308778180434,36.6613042981984,18.9642953205283,28.3363027666105,36.6613042981984,36.6613042981984
