Country,ISO3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,0.641629851,0.683378371,0.687285934,0.692137651,0.694486718,0.695483617,0.694872571,0.692554307,0.689119146,0.687730439,0.687397247,0.692317917,0.700871471,0.70980674,0.718417486,0.720996578,0.717792929,0.708668662,0.701447752,0.704084283,0.731288956,0.766774675,0.798622289,0.842513254,0.888668734,0.924576811,0.937102074,0.972650848,0.98688815,0.996887718,2.850494222,2.860615226,2.873356982,3.023223044,3.270579131,3.295277823,2.301186832,2.333720466,2.20174793,2.070508976,1.695144685,1.92073104,1.207238064,1.106335435,1.127507366,1.125399286,1.135088549,1.141198631,1.152688081,1.158594858
Afghanistan,AFG,461.4732842,461.0127354,411.1254734,425.3419088,448.5966165,472.3769588,474.9407296,467.8895205,465.2764399,455.8777827,456.9362617,452.3029787,446.6547554,424.4818481,382.8321912,354.0675343,310.249207,315.1722746,325.2068314,307.3288972,312.0646399,317.3736414,323.162335,330.3854218,343.9552325,360.2291547,401.3463751,432.8828727,456.1025367,485.6988173,436.5432875,387.269338,468.2740008,484.2208541,489.2323802,483.333776,488.1078891,506.8121826,549.7055441,568.8413157,636.1523492,651.7823992,637.7030877,637.3950267,656.4540448,637.8575307,635.8524007,636.7210824,655.1330012,642.3017247
Angola,AGO,331.3149977,338.5849571,365.2606579,386.8103334,394.0991746,383.8586566,376.0012084,372.1553303,368.2470739,387.8637753,398.8854463,386.2427224,385.3000795,434.155742,465.3534216,490.1212981,538.7768111,604.3865206,682.6009196,685.0614714,709.9638025,690.3225789,643.5996724,771.4400133,1165.556543,1362.504472,1631.450636,1705.409594,1846.729866,1845.404204,1734.39245,1663.839494,1640.210709,1598.141161,1788.018677,1814.403193,1553.132559,1506.031786,1571.293,1542.514445,1715.375453,1635.645689,1675.720519,1702.101584,1684.209089,1769.004521,1735.594644,1707.536773,1631.899252,1578.930288
Anguilla,AIA,0.067843853,0.067903377,0.067979328,0.068016486,0.068075792,0.068034586,0.067764043,0.067579634,0.067414066,0.067100018,0.067203275,0.067557437,0.069795812,0.06924204,0.069118528,0.068929855,0.071550747,0.07564941,0.079299887,0.083041175,0.08662081,0.090279854,0.09349706,0.096915202,0.100817617,0.104434449,0.10657524,0.108335582,0.110141455,0.112370785,0.115464811,0.118746193,0.120964338,0.124722506,0.127729747,0.130963152,0.13315345,0.135473457,0.152030219,0.141624298,0.144462666,0.14649796,0.148214898,0.15021405,0.151825678,0.153366243,0.154158708,0.154924504,0.155361816,0.156230356
Int. Aviation,AIR,1.179528512,1.179528512,1.250763786,1.304352119,1.255108286,1.21373066,1.215845937,1.32578286,1.373457971,1.420632193,1.41226927,1.407991129,1.458323213,1.471382118,1.52663957,1.569393599,1.724702841,1.822582673,1.925539226,2.023213584,1.806202837,1.756533249,1.814337552,1.849412882,1.943041337,2.016546696,2.098348701,2.200726385,2.273262327,2.369854762,2.456162691,2.415544308,2.558582953,2.544311715,2.747835525,2.921344489,3.02947234,3.124872441,3.177868528,3.029684008,3.208421481,3.311376924,3.312511044,3.367942009,3.477864345,3.677520469,3.851905918,4.10533401,4.292264204,4.342984875
Albania,ALB,93.88574337,92.55570684,101.0167773,102.8986358,98.95246314,102.6698615,108.3016217,111.5879621,120.2068603,120.9715304,123.2106047,123.2424447,138.162958,148.1510679,136.3428089,134.4615624,138.6637805,144.1539578,142.7091488,146.4073965,130.6264488,132.7738203,105.7695038,110.2335461,125.2010607,123.8361696,117.2161081,109.5729099,105.2626173,106.4324273,107.7382367,106.7760599,106.4197574,107.0404591,104.906916,103.4457167,103.1520546,99.42528718,95.40813972,92.18242155,93.33173599,92.41889271,94.91529461,97.49197981,100.0523832,101.5577709,99.9961175,99.79342478,100.4471049,93.19818407
Netherlands Antilles,ANT,13.00969488,13.15309961,12.5627541,14.10509424,13.05154947,9.109548289,9.538662412,9.578113689,9.657842011,9.406419416,9.896579962,9.225935764,8.523455256,8.622224412,7.569008591,4.513570145,4.420321258,4.825881775,4.881003016,4.826105037,4.959603398,4.918491381,5.371188809,5.472979455,5.531047686,5.535056124,5.534194473,5.448397851,5.597784295,5.039411429,5.115537826,5.456937971,4.847063514,4.607141239,5.040142953,5.188986391,4.962940159,5.188101616,5.305320309,4.838267929,3.429294084,4.575355096,4.683110308,4.740649978,4.942452721,4.8318616,4.583451826,3.516702517,3.189443239,2.254056459
United Arab Emirates,ARE,321.722123,323.5358139,364.7343226,461.8053368,503.1832854,514.3495935,588.4893703,631.4488256,611.1221628,621.5789725,606.808955,566.4437044,512.0638557,475.043619,502.3704385,536.4869473,606.0236752,678.4646298,698.6400771,822.8593148,887.7951992,932.3032938,968.9738477,1086.796503,1064.935888,1123.050474,1194.18434,1154.93568,1111.242786,1114.838803,1178.028917,1204.750719,1155.882952,1224.240561,1221.84099,1284.527112,1346.335862,1352.170013,1360.802048,1344.242714,1415.828143,1495.964411,1561.878654,1610.288553,1595.376079,1733.428912,1782.492356,1664.864082,1606.037888,1709.138798
Argentina,ARG,3976.291983,4069.509778,4231.224972,4372.179547,4385.103945,4469.625358,4578.445289,4778.314315,4583.688293,4571.184636,4511.795138,4424.892149,4356.450614,4462.548874,4522.092266,4485.995177,4449.524238,4410.258791,4577.015707,4676.62614,4730.884301,4687.249129,4744.565041,4707.51492,4753.658918,4803.743645,4691.222266,4712.318521,4632.583033,4808.599823,4826.129742,4838.666716,5018.948584,5335.957885,5450.614299,5406.831731,5508.784415,5400.892599,5298.51246,5046.275806,4716.768592,4643.802472,4773.654695,4841.238557,4873.323188,4954.248466,4948.518785,5099.064625,5100.546129,5157.970834
Armenia,ARM,69.99108874,74.17407826,76.40813217,78.19662083,80.65952008,82.75852375,83.52563245,84.51283407,86.46521176,88.01486955,89.22109901,90.08659493,91.59006193,93.19905998,95.49806168,97.30550015,98.48668691,100.4724216,101.8852161,103.4087688,109.5977101,101.6488244,92.13968335,78.40410219,77.75133216,76.24298077,76.1361813,75.78370575,72.31409448,72.63068793,73.79381295,75.96931965,78.51836435,81.14067458,83.66682179,84.1702903,85.82825674,83.22628828,83.92570043,79.32052943,77.94916125,78.30274982,81.26342647,86.98117539,89.02252299,90.86963854,92.93839888,88.79240335,82.97981875,81.48716542
