Country,ISO3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Afghanistan,AFG,79933,67661,62252,57274,52695,48482,44605,41039,37757,34739,31961,29406,27054,24891,22901,21070,19385,17835,16409,15097,13890,12780,11758,10818,9953,9157,8425,7751,7131,6561,6037,5554,5110,4701,4325,3980,3661,3369,3099,2852,2624,2414,2221,2043,1880,1730,1591,1464,1347,1239
Albania,ALB,2023,1713,1576,1450,1334,1227,1129,1039,956,879,809,744,685,630,580,533,491,451,415,382,352,323,298,274,252,232,213,196,181,166,153,141,129,119,109,101,93,85,78,72,66,61,56,52,48,44,40,37,34,31
Algeria,DZA,22715,19228,17690,16276,14975,13777,12676,11662,10730,9872,9083,8356,7688,7074,6508,5988,5509,5068,4663,4290,3947,3632,3341,3074,2828,2602,2394,2203,2027,1865,1715,1578,1452,1336,1229,1131,1040,957,881,810,746,686,631,581,534,491,452,416,383,352
Andorra,AND,106,90,83,76,70,64,59,55,50,46,42,39,36,33,30,28,26,24,22,20,18,17,16,14,13,12,11,10,9,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2
Angola,AGO,91232,77227,71052,65371,60144,55335,50911,46840,43095,39649,36479,33563,30879,28410,26139,24049,22126,20357,18729,17232,15854,14586,13420,12347,11360,10451,9616,8847,8140,7489,6890,6339,5832,5366,4937,4542,4179,3845,3537,3255,2994,2755,2535,2332,2146,1974,1816,1671,1537,1414
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,909097,769534,708005,651396,599313,551395,507308,466746,429427,395092,363502,334438,307698,283096,260461,239635,220475,202847,186628,171706,157977,145346,133725,123033,113196,104145,95818,88157,81108,74623,68657,63167,58117,53470,49195,45261,41642,38313,35250,32431,29838,27452,25257,23238,21380,19670,18098,16651,15319,14095
Armenia,ARM,3012,2549,2346,2158,1985,1827,1681,1546,1423,1309,1204,1108,1019,938,863,794,730,672,618,569,523,482,443,408,375,345,317,292,269,247,227,209,193,177,163,150,138,127,117,107,99,91,84,77,71,65,60,55,51,47
Australia,AUS,533741,451802,415678,382442,351863,323730,297846,274032,252121,231963,213416,196352,180653,166209,152919,140692,129443,119094,109571,100811,92750,85334,78511,72234,66458,61145,56256,51758,47620,43812,40309,37086,34121,31393,28883,26573,24449,22494,20695,19041,17518,16118,14829,13643,12552,11549,10625,9776,8994,8275
Austria,AUT,24439,20687,19033,17511,16111,14823,13638,12547,11544,10621,9772,8991,8272,7610,7002,6442,5927,5453,5017,4616,4247,3907,3595,3307,3043,2800,2576,2370,2180,2006,1846,1698,1562,1437,1322,1217,1119,1030,948,872,802,738,679,625,575,529,487,448,412,379
Azerbaijan,AZE,22672,19191,17657,16245,14946,13751,12652,11640,10709,9853,9065,8340,7674,7060,6496,5976,5498,5059,4654,4282,3940,3625,3335,3068,2823,2597,2390,2199,2023,1861,1712,1575,1449,1333,1227,1129,1039,955,879,809,744,685,630,580,533,491,451,415,382,351
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,266,226,207,191,176,162,149,137,126,116,107,98,90,83,76,70,65,59,55,50,46,43,39,36,33,31,28,26,24,22,20,19,17,16,14,13,12,11,10,10,9,8,7,7,6,6,5,5,4,4
Bangladesh,BGD,1176675,996034,916396,843125,775712,713690,656626,604125,555822,511381,470493,432875,398264,366421,337123,310168,285369,262552,241559,222245,204476,188127,173085,159246,146513,134799,124021,114105,104981,96587,88865,81759,75222,69208,63674,58583,53899,49590,45625,41977,38620,35533,32691,30078,27673,25460,23424,21552,19828,18243
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,1269,1074,988,909,837,770,708,652,600,552,508,467,430,395,364,335,308,283,261,240,221,203,187,172,158,145,134,123,113,104,96,88,81,75,69,63,58,53,49,45,42,38,35,32,30,27,25,23,21,20
Belgium,BEL,13833,11710,10773,9912,9120,8390,7720,7102,6534,6012,5531,5089,4682,4308,3963,3646,3355,3087,2840,2613,2404,2212,2035,1872,1722,1585,1458,1341,1234,1136,1045,961,884,814,749,689,634,583,536,493,454,418,384,354,325,299,275,253,233,214
Belize,BLZ,1973,1670,1536,1414,1301,1197,1101,1013,932,857,789,726,668,614,565,520,478,440,405,373,343,315,290,267,246,226,208,191,176,162,149,137,126,116,107,98,90,83,76,70,65,60,55,50,46,43,39,36,33,31
Benin,BEN,2218,1878,1727,1589,1462,1345,1238,1139,1048,964,887,816,751,691,636,585,538,495,455,419,385,355,326,300,276,254,234,215,198,182,168,154,142,130,120,110,102,93,86,79,73,67,62,57,52,48,44,41,37,34
Bhutan,BTN,9869,8354,7686,7071,6506,5986,5507,5067,4662,4289,3946,3630,3340,3073,2827,2601,2393,2202,2026,1864,1715,1578,1452,1336,1229,1131,1040,957,880,810,745,686,631,580,534,491,452,416,383,352,324,298,274,252,232,214,196,181,166,153
Bolivia,BOL,57126,48356,44490,40933,37660,34649,31879,29330,26985,24827,22842,21016,19335,17789,16367,15058,13854,12747,11727,10790,9927,9133,8403,7731,7113,6544,6021,5540,5097,4689,4314,3969,3652,3360,3091,2844,2617,2408,2215,2038,1875,1725,1587,1460,1343,1236,1137,1046,963,886
Bosnia and Herzegovina,BIH,10476,8868,8159,7506,6906,6354,5846,5379,4948,4553,4189,3854,3546,3262,3001,2761,2541,2338,2151,1979,1820,1675,1541,1418,1304,1200,1104,1016,935,860,791,728,670,616,567,522,480,441,406,374,344,316,291,268,246,227,209,192,177,162
Botswana,BWA,1469,1244,1144,1053,969,891,820,754,694,639,587,541,497,458,421,387,356,328,302,278,255,235,216,199,183,168,155,142,131,121,111,102,94,86,80,73,67,62,57,52,48,44,41,38,35,32,29,27,25,23
Brazil,BRA,1649348,1396143,1284513,1181809,1087317,1000380,920394,846803,779097,716804,659491,606761,558247,513612,472546,434763,400002,368019,338594,311522,286614,263697,242613,223215,205368,188947,173840,159940,147152,135387,124562,114602,105439,97009,89252,82116,75551,69510,63952,58839,54134,49806,45824,42160,38789,35688,32834,30209,27793,25571
Brunei,BRN,31,27,24,23,21,19,18,16,15,14,13,12,11,10,9,8,8,7,6,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bulgaria,BGR,59352,50240,46223,42527,39127,35999,33120,30472,28036,25794,23732,21834,20088,18482,17005,15645,14394,13243,12184,11210,10314,9489,8730,8032,7390,6799,6256,5755,5295,4872,4482,4124,3794,3491,3212,2955,2719,2501,2301,2117,1948,1792,1649,1517,1396,1284,1182,1087,1000,920
Burkina Faso,BFA,5277,4467,4109,3781,3479,3200,2945,2709,2493,2293,2110,1941,1786,1643,1512,1391,1280,1177,1083,997,917,844,776,714,657,604,556,512,471,433,399,367,337,310,286,263,242,222,205,188,173,159,147,135,124,114,105,97,89,82
Burundi,BDI,646,546,503,463,426,392,360,331,305,281,258,237,218,201,185,170,157,144,133,122,112,103,95,87,80,74,68,63,58,53,49,45,41,38,35,32,30,27,25,23,21,19,18,17,15,14,13,12,11,10
Cambodia,KHM,27371,23169,21317,19612,18044,16602,15274,14053,12929,11896,10944,10069,9264,8524,7842,7215,6638,6107,5619,5170,4756,4376,4026,3704,3408,3136,2885,2654,2442,2247,2067,1902,1750,1610,1481,1363,1254,1154,1061,976,898,827,760,700,644,592,545,501,461,424
Cameroon,CMR,10474,8866,8157,7505,6905,6353,5845,5378,4948,4552,4188,3853,3545,3262,3001,2761,2540,2337,2150,1978,1820,1675,1541,1418,1304,1200,1104,1016,934,860,791,728,670,616,567,521,480,441,406,374,344,316,291,268,246,227,209,192,177,162
Canada,CAN,203129,171945,158197,145548,133911,123204,113353,104290,95951,88280,81221,74727,68752,63255,58197,53544,49263,45324,41700,38366,35299,32476,29880,27491,25293,23270,21410,19698,18123,16674,15341,14114,12986,11947,10992,10113,9305,8561,7876,7246,6667,6134,5644,5192,4777,4395,4044,3720,3423,3149
Cape Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,10770,9116,8387,7717,7100,6532,6010,5529,5087,4680,4306,3962,3645,3354,3086,2839,2612,2403,2211,2034,1871,1722,1584,1458,1341,1234,1135,1044,961,884,813,748,688,633,583,536,493,454,418,384,353,325,299,275,253,233,214,197,181,167
Chad,TCD,12717,10765,9904,9112,8383,7713,7096,6529,6007,5527,5085,4678,4304,3960,3643,3352,3084,2837,2611,2402,2210,2033,1871,1721,1583,1457,1340,1233,1135,1044,960,884,813,748,688,633,583,536,493,454,417,384,353,325,299,275,253,233,214,197
Chile,CHL,8060,6823,6277,5776,5314,4889,4498,4138,3807,3503,3223,2965,2728,2510,2309,2125,1955,1799,1655,1522,1401,1289,1186,1091,1004,923,850,782,719,662,609,560,515,474,436,401,369,340,313,288,265,243,224,206,190,174,160,148,136,125
People's Republic of China,CHN,8039216,6805049,6260947,5760350,5299778,4876031,4486165,4127471,3797457,3493829,3214478,2957462,2720997,2503438,2303274,2119114,1949679,1793791,1650368,1518412,1397006,1285308,1182540,1087990,1000999,920963,847327,779579,717247,659899,607136,558592,513930,472838,435032,400249,368247,338803,311714,286791,263860,242763,223353,205495,189064,173947,160039,147243,135470,124639
Colombia,COL,41703,35300,32478,29881,27492,25294,23271,21411,19699,18124,16675,15342,14115,12986,11948,10993,10114,9305,8561,7877,7247,6667,6134,5644,5193,4777,4395,4044,3721,3423,3149,2898,2666,2453,2257,2076,1910,1758,1617,1488,1369,1259,1159,1066,981,902,830,764,703,647
Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
