"bs","adm0","alpha.damage.noadapt","beta.damage.noadapt","alpha.damage.optimal","beta.damage.optimal","alpha.adapts.noadapt","beta.adapts.noadapt","alpha.adapts.optimal","beta.adapts.optimal"
1,"ABW",123393.945381295,0,3472.34548559686,32.4202587147091,0,58.5735002327952,0,64.120701579207
1,"AGO",0,32145.2003372588,50427.1245511475,235.943182641435,0,1120.30076400756,285570.091148662,601.873689999
1,"AIA",72793.1989778172,0,11343.726646834,0,157.674332649235,21.8304233091685,9136.43341614093,7.2061202646218
1,"ALA",59273.1973082486,18.9233748438242,43954.7702119813,29.3510918155674,0,3.07517669260105,217.521042261169,3.99875978863363
1,"ALB",0,4966.01805806077,34081.3918946076,0,0,488.446734802667,389155.234546705,0
1,"ARE",0,47292.6613913896,571674.196870049,350.05682899329,0,6.01493229120559,1844351.36645818,0
1,"ARG",1089189.78051552,2965.30679098159,3418870.25254588,0,34.1891374394181,0.195902814383945,1240775.22043434,0
1,"ASM",0,419.853527050546,2471.98640323709,17.58956834726,0,19.9244278116812,0,54.4015959514481
1,"ATF",0,0,0,0,0,0,0,0
1,"ATG",261207.575134638,0,30475.1767189437,16.5037138165801,0,101.176946179474,42264.705762926,44.2026443265596
1,"AUS",0,92419.4746760887,5014696.82760726,6894.99278015848,0,357.393284853468,5550193.41653223,5994.37562403828
1,"BEL",2076488.49093249,0,50786.7182826074,0,0,0,759584.61257736,0
1,"BEN",0,53306.9080215695,20565.0250084794,29.5554898307266,0,1729.16292822541,214304.959734701,0
1,"BES",59106.4540719396,0,14059.8228395945,0.262460693238463,0,32.8115729462572,6617.87640241926,27.8542072990209
1,"BGD",1414171.05075502,190869.114557992,5784394.03454662,0,0,0,20482371.5588221,0
1,"BGR",308452.5522885,473.689145147887,15479.2098933932,8.25620052239378,0,268.954061849162,166113.836176639,0
1,"BHR",0,31592.8059822279,8772.77155205894,0,0,52.2304231194612,443172.238516626,0
1,"BHS",1860703.3939671,717.01909242338,704031.349287366,0,0,472.30727162032,426619.616637233,0
1,"BIH",16058.8546306392,48.3470056120555,1695.88967647408,0,0,6.75201367479064,15293.5505165876,0
1,"BLM",40293.9869453061,0,2205.97044742747,0,0,65.9570715403528,23692.6208521063,0
1,"BLZ",3378826.40021246,0,109787.227325145,43.2183357846959,164979.101533223,625.298390535345,333328.287398043,0
1,"BMU",52135.6271679326,135.059493414048,12342.0958044635,9.99221883694505,0,60.29390406182,0,144.744013159546
1,"BRA",0,270949.235766431,8871028.39146619,0,0,918.66645177831,10319002.6139776,0
1,"BRB",180252.498518501,0,3176.02896139718,0.686647786827114,0,49.8170525103499,53514.312831074,0
1,"BRN",715332.468218851,3555.87205999555,548286.898382116,295.48779303056,0,0,167134.468059405,660.143588341477
1,"BVT",0,0,0,0,0,0,0,0
1,"CAN",1480358.64155664,13807.1104920579,1819958.03368262,394.437840258027,0,172.513639480239,2363281.45767944,1551.17074169784
1,"CCK",6032.90774159813,47.6597912982508,5092.8177554529,2.44371665684849,0,3.70338003374065,0,11.2577831159271
1,"CHL",162927.887868194,6248.1376912627,671514.820068144,0,0,2.82579642615453,695522.309310284,42.8360587636425
1,"CHN",38928.0026528883,455446.542323435,28109597.7246264,0,0,52.0521952403848,46742120.6013892,0
1,"CIV",5873446.81860886,19059.3575753754,554100.471091518,83.9815045150864,0,999.73448286721,598704.639489018,635.755684015976
1,"CMR",0,18665.5654694747,189208.628932724,76.6044681672589,0,12.2673954981682,422506.531019062,0
1,"COD",182884.559244813,1500.79039872331,56471.7090213218,131.435303624805,0,34.718395686265,0,185.732462123512
1,"COG",0,9380.90913749731,24792.4114713303,3.30380465252241,0,115.065632826726,73573.2461875751,0
1,"COK",24066.6256973091,23.3457015337982,4071.8152393767,1.79065647202959,0,5.52979458216148,0,11.143600260926
1,"COL",24884071.4976465,0,869825.113912482,0,0,5614.74718786307,1052560.72591061,958.205971232858
1,"COM",288022.147831522,1191.9687380723,119629.750003958,12.7489602759681,0,0,0,162.948884875823
1,"CPV",839501.345885943,0,61154.4760398569,0,0,82.9964927992741,53603.8273239285,23.9474650152659
1,"CRI",1870871.76859128,1364.66505519871,796410.664582266,0,0,230.793122428417,326286.24535288,176.914433331899
1,"CUB",6456408.73696505,0,1024628.16950743,0,0,1176.35076019494,1092582.30781999,0
1,"CUW",93673.6657527665,48.1168285524377,11128.8083451887,8.4156318795186,0,76.8843158240935,0,98.7845677604909
1,"CXR",1277.73286015998,13.2479449220924,4139.58947557652,4.52887528260545,0,1.35910672263268,0,3.15941043346643
