# Index: time, region

"year","AF","CA","EE","EU","IA","LA","OT","US"
2020,86.2291045184794,90.4714010399853,84.3636968133715,72.9785799675149,90.4714010399853,80.6252767854522,72.9785799675149,72.9785799675149
2030,50.713269004573,42.540996651134,47.1979491989983,35.9748879076559,42.540996651134,47.6627100944932,35.9748879076559,35.9748879076559
2040,38.6833953148055,23.9049592287747,32.4199646062738,25.0633196880444,23.9049592287747,38.4079778933798,25.0633196880444,25.0633196880444
2050,33.3978270368731,14.8887287317342,22.1731550403908,19.3290042236271,14.8887287317342,31.7704559910248,19.3290042236271,19.3290042236271
2075,27.3998772927169,8.36580139156061,13.6688123449671,13.186738478852,8.36580139156061,23.7620245145745,13.186738478852,13.186738478852
2100,20.5660966143357,5.01660967360207,9.88227175942361,10.4213096478261,5.01660967360207,19.3606476946393,10.4213096478261,10.4213096478261
2150,10.2830483071678,2.50830483680104,4.9411358797118,5.21065482391305,2.50830483680104,9.68032384731964,5.21065482391305,5.21065482391305
2200,5.14152415358392,1.25415241840052,2.4705679398559,2.60532741195653,1.25415241840052,4.84016192365982,2.60532741195653,2.60532741195653
2250,2.57076207679196,0.627076209200259,1.23528396992795,1.30266370597826,0.627076209200259,2.42008096182991,1.30266370597826,1.30266370597826
2300,1.28538103839598,0.31353810460013,0.617641984963975,0.651331852989131,0.31353810460013,1.21004048091495,0.651331852989131,0.651331852989131
