# Index: time, region

"year","AF","CA","EE","EU","IA","LA","OT","US"
2020,102.419315610829,101.219261930942,100.44269154562,94.6574948378744,101.219261930942,100.953475425614,94.6574948378744,94.6574948378744
2030,87.4820754099973,81.1813233344119,70.1860021883841,75.0266850033136,81.1813233344119,84.4607630810215,75.0266850033136,75.0266850033136
2040,91.4196710840037,77.598064710651,67.5646445228101,69.8163193911221,77.598064710651,76.7017069662725,69.8163193911221,69.8163193911221
2050,95.136909929376,71.8059104127861,62.2687028307424,66.8206019730562,71.8059104127861,69.9303774468826,66.8206019730562,66.8206019730562
2075,90.6679704668573,55.4721439671901,57.4739580023434,59.4671471433465,55.4721439671901,64.2948954649946,59.4671471433465,59.4671471433465
2100,86.7852492770791,44.6367629247846,46.9538503619047,51.5214865978664,44.6367629247846,57.4041444142073,51.5214865978664,51.5214865978664
2150,43.3926246385396,22.3183814623923,23.4769251809524,25.7607432989332,22.3183814623923,28.7020722071036,25.7607432989332,25.7607432989332
2200,21.6963123192698,11.1591907311961,11.7384625904762,12.8803716494666,11.1591907311961,14.3510361035518,12.8803716494666,12.8803716494666
2250,10.8481561596349,5.57959536559807,5.86923129523809,6.44018582473331,5.57959536559807,7.17551805177591,6.44018582473331,6.44018582473331
2300,5.42407807981745,2.78979768279904,2.93461564761905,3.22009291236665,2.78979768279904,3.58775902588796,3.22009291236665,3.22009291236665
