# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2020,94.9884725696079,94.9884725696079,94.9884725696079,94.7446745184744,109.144032756345,109.144032756345,114.91983036503,102.632466515369
2021,95.3473823254221,95.3473823254221,95.3473823254221,94.4349958189832,109.675139444545,109.675139444545,115.672735849493,102.818425550646
2022,95.7062920812363,95.7062920812363,95.7062920812363,94.125317119492,110.206246132745,110.206246132745,116.425641333956,103.004384585922
2023,96.0652018370504,96.0652018370504,96.0652018370504,93.8156384200009,110.737352820946,110.737352820946,117.178546818419,103.190343621199
2024,96.4241115928646,96.4241115928646,96.4241115928646,93.5059597205097,111.268459509146,111.268459509146,117.931452302883,103.376302656476
2025,96.7830213486788,96.7830213486788,96.7830213486788,93.1962810210185,111.799566197347,111.799566197347,118.684357787346,103.562261691753
2026,97.1419311044929,97.1419311044929,97.1419311044929,92.8866023215273,112.330672885547,112.330672885547,119.437263271809,103.74822072703
2027,97.5008408603071,97.5008408603071,97.5008408603071,92.5769236220361,112.861779573748,112.861779573748,120.190168756272,103.934179762306
2028,97.8597506161212,97.8597506161212,97.8597506161212,92.2672449225449,113.392886261948,113.392886261948,120.943074240736,104.120138797583
2029,98.2186603719354,98.2186603719354,98.2186603719354,91.9575662230537,113.923992950148,113.923992950148,121.695979725199,104.30609783286
2030,98.5775701277496,98.5775701277496,98.5775701277496,91.6478875235625,114.455099638349,114.455099638349,122.448885209662,104.492056868137
2031,98.7438158546504,98.7438158546504,98.7438158546504,91.1913771844041,114.522135774423,114.522135774423,123.064436315203,104.483024735467
2032,98.9100615815512,98.9100615815512,98.9100615815512,90.7348668452457,114.589171910496,114.589171910496,123.679987420744,104.473992602798
2033,99.076307308452,99.076307308452,99.076307308452,90.2783565060873,114.65620804657,114.65620804657,124.295538526285,104.464960470128
2034,99.2425530353528,99.2425530353528,99.2425530353528,89.8218461669289,114.723244182644,114.723244182644,124.911089631826,104.455928337459
2035,99.4087987622536,99.4087987622536,99.4087987622536,89.3653358277705,114.790280318718,114.790280318718,125.526640737366,104.446896204789
2036,99.5750444891544,99.5750444891544,99.5750444891544,88.9088254886121,114.857316454791,114.857316454791,126.142191842907,104.43786407212
2037,99.7412902160552,99.7412902160552,99.7412902160552,88.4523151494536,114.924352590865,114.924352590865,126.757742948448,104.42883193945
2038,99.907535942956,99.907535942956,99.907535942956,87.9958048102952,114.991388726939,114.991388726939,127.373294053989,104.419799806781
2039,100.073781669857,100.073781669857,100.073781669857,87.5392944711368,115.058424863013,115.058424863013,127.98884515953,104.410767674112
2040,100.240027396758,100.240027396758,100.240027396758,87.0827841319784,115.125460999086,115.125460999086,128.604396265071,104.401735541442
2041,100.206882212288,100.206882212288,100.206882212288,86.4880876454498,114.745671467088,114.745671467088,129.070984928016,104.19696909067
2042,100.173737027819,100.173737027819,100.173737027819,85.8933911589212,114.36588193509,114.36588193509,129.537573590961,103.992202639898
2043,100.140591843349,100.140591843349,100.140591843349,85.2986946723925,113.986092403092,113.986092403092,130.004162253907,103.787436189126
2044,100.10744665888,100.10744665888,100.10744665888,84.7039981858639,113.606302871095,113.606302871095,130.470750916852,103.582669738354
2045,100.07430147441,100.07430147441,100.07430147441,84.1093016993353,113.226513339097,113.226513339097,130.937339579797,103.377903287582
2046,100.041156289941,100.041156289941,100.041156289941,83.5146052128067,112.846723807099,112.846723807099,131.403928242743,103.17313683681
2047,100.008011105471,100.008011105471,100.008011105471,82.9199087262781,112.466934275101,112.466934275101,131.870516905688,102.968370386038
2048,99.9748659210019,99.9748659210019,99.9748659210019,82.3252122397494,112.087144743103,112.087144743103,132.337105568633,102.763603935266
2049,99.9417207365324,99.9417207365324,99.9417207365324,81.7305157532208,111.707355211105,111.707355211105,132.803694231579,102.558837484494
2050,99.908575552063,99.908575552063,99.908575552063,81.1358192666922,111.327565679107,111.327565679107,133.270282894524,102.354071033722
2051,99.7278181050983,99.7278181050983,99.7278181050983,80.852077044092,111.070121004582,111.070121004582,133.21242756522,102.331959458301
2052,99.5470606581337,99.5470606581337,99.5470606581337,80.5683348214919,110.812676330056,110.812676330056,133.154572235917,102.30984788288
2053,99.366303211169,99.366303211169,99.366303211169,80.2845925988917,110.555231655531,110.555231655531,133.096716906613,102.287736307458
2054,99.1855457642044,99.1855457642044,99.1855457642044,80.0008503762915,110.297786981006,110.297786981006,133.038861577309,102.265624732037
2055,99.0047883172397,99.0047883172397,99.0047883172397,79.7171081536914,110.040342306481,110.040342306481,132.981006248006,102.243513156616
