# Index: time, region

"year","AF","CA","EE","EU","IA","LA","OT","US"
2020,104.014109425616,97.6053849690411,98.5814029095538,89.3911876119482,97.6053849690411,97.2585249203094,89.3911876119482,89.3911876119482
2030,73.6203411424301,59.0866038562434,50.585361959074,59.6717460191803,59.0866038562434,70.6854118137981,59.6717460191803,59.6717460191803
2040,68.6220223728456,48.7580165108295,40.6905222698429,51.8723533451865,48.7580165108295,57.5037370928173,51.8723533451865,51.8723533451865
2050,62.2848547799204,40.5139544837357,33.9396360654408,44.371284385467,40.5139544837357,47.9422839228473,44.371284385467,44.371284385467
2075,51.0435766861763,27.8790295448866,24.265897364354,38.5544655900276,27.8790295448866,36.2621901163092,38.5544655900276,38.5544655900276
2100,43.1343849781168,18.5101734542675,13.2403477760953,32.7719753061898,18.5101734542675,27.5594700877582,32.7719753061898,32.7719753061898
2150,21.5671924890584,9.25508672713375,6.62017388804763,16.3859876530949,9.25508672713375,13.7797350438791,16.3859876530949,16.3859876530949
2200,10.7835962445292,4.62754336356688,3.31008694402381,8.19299382654744,4.62754336356688,6.88986752193955,8.19299382654744,8.19299382654744
2250,5.3917981222646,2.31377168178344,1.65504347201191,4.09649691327372,2.31377168178344,3.44493376096977,4.09649691327372,4.09649691327372
2300,2.6958990611323,1.15688584089172,0.827521736005953,2.04824845663686,1.15688584089172,1.72246688048489,2.04824845663686,2.04824845663686
