# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2041,136.949712487465,136.949712487465,136.949712487465,174.204724409449,269.550364383603,269.550364383603,230.56443553343,228.616045433578
2042,136.378639024549,136.378639024549,136.378639024549,174.578499116182,272.69410874979,272.69410874979,234.017591667236,233.669094126455
2043,135.807565561633,135.807565561633,135.807565561633,174.952273822915,275.837853115976,275.837853115976,237.470747801042,238.722142819332
2044,135.236492098717,135.236492098717,135.236492098717,175.326048529648,278.981597482163,278.981597482163,240.923903934848,243.775191512209
2045,134.665418635801,134.665418635801,134.665418635801,175.699823236381,282.125341848349,282.125341848349,244.377060068653,248.828240205086
2046,134.094345172886,134.094345172886,134.094345172886,176.073597943114,285.269086214536,285.269086214536,247.830216202459,253.881288897964
2047,133.52327170997,133.52327170997,133.52327170997,176.447372649847,288.412830580722,288.412830580722,251.283372336265,258.934337590841
2048,132.952198247054,132.952198247054,132.952198247054,176.82114735658,291.556574946908,291.556574946908,254.736528470071,263.987386283718
2049,132.381124784138,132.381124784138,132.381124784138,177.194922063313,294.700319313095,294.700319313095,258.189684603877,269.040434976595
2050,131.810051321222,131.810051321222,131.810051321222,177.568696770047,297.844063679281,297.844063679281,261.642840737683,274.093483669472
2051,130.691811618719,130.691811618719,130.691811618719,177.537072151695,300.727793225673,300.727793225673,267.917715193763,279.603424155115
2052,129.573571916215,129.573571916215,129.573571916215,177.505447533344,303.611522772065,303.611522772065,274.192589649843,285.113364640759
2053,128.455332213711,128.455332213711,128.455332213711,177.473822914993,306.495252318457,306.495252318457,280.467464105922,290.623305126402
2054,127.337092511208,127.337092511208,127.337092511208,177.442198296641,309.37898186485,309.37898186485,286.742338562002,296.133245612045
2055,126.218852808704,126.218852808704,126.218852808704,177.41057367829,312.262711411242,312.262711411242,293.017213018082,301.643186097688
2056,125.100613106201,125.100613106201,125.100613106201,177.378949059939,315.146440957634,315.146440957634,299.292087474162,307.153126583331
2057,123.982373403697,123.982373403697,123.982373403697,177.347324441588,318.030170504026,318.030170504026,305.566961930242,312.663067068975
2058,122.864133701193,122.864133701193,122.864133701193,177.315699823236,320.913900050418,320.913900050418,311.841836386321,318.173007554618
2059,121.74589399869,121.74589399869,121.74589399869,177.284075204885,323.79762959681,323.79762959681,318.116710842401,323.682948040261
2060,120.627654296186,120.627654296186,120.627654296186,177.252450586534,326.681359143202,326.681359143202,324.391585298481,329.192888525904
2061,119.509414593683,119.509414593683,119.509414593683,177.220825968183,329.565088689594,329.565088689594,330.666459754561,334.702829011547
2062,118.391174891179,118.391174891179,118.391174891179,177.189201349831,332.448818235986,332.448818235986,336.941334210641,340.212769497191
2063,117.272935188675,117.272935188675,117.272935188675,177.15757673148,335.332547782378,335.332547782378,343.21620866672,345.722709982834
2064,116.154695486172,116.154695486172,116.154695486172,177.125952113129,338.21627732877,338.21627732877,349.4910831228,351.232650468477
