# Index: time

"year","excess"
2020,0.738370322666299
2030,0.530437136062111
2040,0.442431002199697
2050,0.363900257160505
2075,0.289938389914982
2100,0.238229802568303
2150,0.119114901284151
2200,0.0595574506420757
2250,0.0297787253210378
2300,0.0148893626605189
